IYJ,1.31E9
OC,Owens Corning,0.24
CSL,Carlisle Cos Inc,0.23
WAB,Wabtec Corp/DE,0.23
MAN,ManpowerGroup Inc,0.23
CGNX,Cognex Corp,0.23
JEC,Jacobs Engineering Group Inc,0.23
NDSN,Nordson Corp,0.22
TTC,Toro Co,0.22
ARW,Arrow Electronics Inc,0.22
CSGP,CoStar Group Inc,0.22
KEYS,Keysight Technologies Inc,0.22
LII,Lennox International Inc,0.22
BEAV,B/E Aerospace Inc,0.22
BERY,Berry Plastics Group Inc,0.22
HUBB,HUBBELL INC,0.21
RHI,Robert Half International Inc,0.21
PKI,PerkinElmer Inc,0.21
FLS,Flowserve Corp,0.2
ODFL,Old Dominion Freight Line Inc,0.2
ALSN,Allison Transmission Holdings Inc,0.2
DCI,Donaldson Co Inc,0.2
OA,Orbital ATK Inc,0.2
AVT,Avnet Inc,0.19
MIC,Macquarie Infrastructure Corp,0.19
PWR,Quanta Services Inc,0.19
SON,Sonoco Products Co,0.18
MDU,MDU Resources Group Inc,0.18
ACM,AECOM,0.18
BAH,Booz Allen Hamilton Holding Corp,0.18
LECO,Lincoln Electric Holdings Inc,0.18
GGG,Graco Inc,0.17
OSK,Oshkosh Corp,0.17
FLIR,FLIR Systems Inc,0.16
JBL,Jabil Circuit Inc,0.16
HXL,Hexcel Corp,0.16
ATR,AptarGroup Inc,0.16
EXP,Eagle Materials Inc,0.16
ZBRA,Zebra Technologies Corp,0.16
BMS,Bemis Co Inc,0.15
BWXT,BWX Technologies Inc,0.15
TDY,Teledyne Technologies Inc,0.15
MSM,MSC Industrial Direct Co Inc,0.15
SABR,Sabre Corp,0.15
WSO,Watsco Inc,0.15
IPGP,IPG Photonics Corp,0.15
EEFT,Euronet Worldwide Inc,0.14
CW,Curtiss-Wright Corp,0.14
GWR,Genesee & Wyoming Inc,0.14
GPK,Graphic Packaging Holding Co,0.14
AGCO,AGCO Corp,0.13
WEX,WEX Inc,0.13
R,Ryder System Inc,0.13
TRN,Trinity Industries Inc,0.13
XPO,XPO Logistics Inc,0.13
MMS,MAXIMUS Inc,0.13
EME,EMCOR Group Inc,0.13
CFX,Colfax Corp,0.13
WWD,Woodward Inc,0.12
OLED,Universal Display Corp,0.12
KEX,Kirby Corp,0.12
AL,Air Lease Corp,0.12
CR,Crane Co,0.12
ITT,ITT Corp,0.12
LFUS,Littelfuse Inc,0.12
DLX,Deluxe Corp,0.12
LSTR,Landstar System Inc,0.12
LPX,Louisiana-Pacific Corp,0.11
VMI,Valmont Industries Inc,0.11
NATI,National Instruments Corp,0.11
CLGX,CoreLogic Inc/United States,0.11
RBC,Regal Beloit Corp,0.11
ENS,EnerSys,0.11
TEX,Terex Corp,0.11
OI,Owens-Illinois Inc,0.11
G,Genpact Ltd,0.11
TKR,Timken Co,0.1
KMT,Kennametal Inc,0.1
USG,USG Corp,0.1
CBI,Chicago Bridge & Iron Co NV,0.1
FDC,FIRST DATA CORP CLASS A,0.1
BDC,Belden Inc,0.1
CLH,Clean Harbors Inc,0.09
WCC,WESCO International Inc,0.09
JOY,Joy Global Inc,0.09
CNDT,CONDUENT INC,0.09
WBT,WELBILT INC,0.09
ESL,Esterline Technologies Corp,0.09
CEB,CEB Inc,0.08
KLXI,KLX Inc,0.08
GNRC,Generac Holdings Inc,0.08
GATX,GATX Corp,0.08
AIT,Applied Industrial Technologies Inc,0.08
AWI,Armstrong World Industries Inc,0.07
AXE,Anixter International Inc,0.07
HI,Hillenbrand Inc,0.07
SLGN,Silgan Holdings Inc,0.07
TTEK,Tetra Tech Inc,0.07
MSA,MSA Safety Inc,0.07
VSH,Vishay Intertechnology Inc,0.07
MOG.A,Moog Inc,0.07
PAY,VeriFone Systems Inc,0.07
HEI,HEICO Corp,0.06
CVG,Convergys Corp,0.06
KBR,KBR Inc,0.06
ITRI,Itron Inc,0.06
CVA,Covanta Holding Corp,0.06
DGI,DigitalGlobe Inc,0.06
ABCO,Advisory Board Co,0.06
DNOW,NOW Inc,0.06
MRC,MRC Global Inc,0.05
FCN,FTI Consulting Inc,0.05
ATU,Actuant Corp,0.05
HUBG,Hub Group Inc,0.05
TGI,Triumph Group Inc,0.04
NSR,NeuStar Inc,0.03
RRD,RR Donnelley & Sons Co,0.03
LKSD,LSC COMMUNICATIONS INC,0.02
MLI,Mueller Industries Inc,0.0
