SLYG,1.36E9
CWT,California Water Service Group,0.44
XPER,Xperi Corp,0.43
BOFI,BofI Holding Inc,0.42
IART,Integra LifeSciences Holdings Corp,0.42
PLKI,Popeyes Louisiana Kitchen Inc,0.42
CHE,Chemed Corp,0.41
VAC,Marriott Vacations Worldwide Corp,0.41
AIT,Applied Industrial Technologies Inc,0.41
SFLY,Shutterfly Inc,0.41
HMSY,HMS Holdings Corp,0.4
IRBT,iRobot Corp,0.4
CYNO,Cynosure Inc,0.4
UBSI,United Bankshares Inc/WV,0.4
ROIC,Retail Opportunity Investments Corp,0.4
MATW,Matthews International Corp,0.4
GWB,Great Western Bancorp Inc,0.4
NTRI,Nutrisystem Inc,0.39
OLLI,Ollie's Bargain Outlet Holdings Inc,0.39
AKS,AK Steel Holding Corp,0.38
FN,Fabrinet,0.38
RMBS,Rambus Inc,0.38
ESE,ESCO Technologies Inc,0.38
CBU,Community Bank System Inc,0.38
INN,Summit Hotel Properties Inc,0.37
FNGN,Financial Engines Inc,0.37
EBIX,Ebix Inc,0.37
SUPN,Supernus Pharmaceuticals Inc,0.37
MDCO,Medicines Co,0.37
AAON,AAON Inc,0.37
PRGS,Progress Software Corp,0.37
B,Barnes Group Inc,0.36
PSB,PS Business Parks Inc,0.36
OMCL,Omnicell Inc,0.36
SMTC,Semtech Corp,0.36
SWC,Stillwater Mining Co,0.36
NKTR,Nektar Therapeutics,0.36
CVBF,CVB Financial Corp,0.35
MMSI,Merit Medical Systems Inc,0.35
TTMI,TTM Technologies Inc,0.35
BRC,Brady Corp,0.34
ROCK,Gibraltar Industries Inc,0.34
EGOV,NIC Inc,0.33
PRLB,Proto Labs Inc,0.33
EGHT,8x8 Inc,0.33
FCPT,Four Corners Property Trust Inc.,0.33
SHOO,Steven Madden Ltd,0.32
ADC,Agree Realty Corp,0.32
SPTN,SpartanNash Co,0.31
COLB,Columbia Banking System Inc,0.31
LTC,LTC Properties Inc,0.31
TASR,TASER International Inc,0.31
UNF,UniFirst Corp/MA,0.31
ASTE,Astec Industries Inc,0.3
HI,Hillenbrand Inc,0.3
ABM,ABM Industries Inc,0.3
ASGN,On Assignment Inc,0.3
VREX,Varex Imaging Corporation,0.3
DRH,DiamondRock Hospitality Co,0.29
FMBI,First Midwest Bancorp Inc/IL,0.29
RLI,RLI Corp,0.29
WD,Walker & Dunlop Inc,0.29
INDB,Independent Bank Corp/Rockland MA,0.29
RGEN,Repligen Corp,0.29
CBM,Cambrex Corp,0.29
JJSF,J&J Snack Foods Corp,0.28
FFBC,First Financial Bancorp,0.28
SNCR,Synchronoss Technologies Inc,0.28
ILG,ILG Inc.,0.28
HQY,HealthEquity Inc,0.28
EFII,Electronics For Imaging Inc,0.28
SGMS,Scientific Games Corp,0.28
NCI,Navigant Consulting Inc,0.28
AKR,Acadia Realty Trust,0.28
NWBI,Northwest Bancshares Inc,0.27
ECOL,US Ecology Inc,0.27
NBTB,NBT Bancorp Inc,0.27
ROG,Rogers Corp,0.26
SCAI,Surgical Care Affiliates Inc,0.26
BMI,Badger Meter Inc,0.26
BEL,Belmond Ltd,0.26
PATK,Patrick Industries Inc,0.26
HAE,Haemonetics Corp,0.26
TMP,Tompkins Financial Corp,0.26
HAFC,Hanmi Financial Corp,0.26
IBP,Installed Building Products Inc,0.26
NTGR,NETGEAR Inc,0.26
CFNL,Cardinal Financial Corp,0.26
AZZ,AZZ Inc,0.26
EXPO,Exponent Inc,0.26
SPSC,SPS Commerce Inc,0.25
CASH_USD,U.S. Dollar,0.25
CTRE,CareTrust REIT Inc,0.25
QLYS,Qualys Inc,0.25
UFPI,Universal Forest Products Inc,0.25
WDFC,WD-40 Co,0.25
APOG,Apogee Enterprises Inc,0.25
AJRD,Aerojet Rocketdyne Holdings Inc,0.25
UEIC,Universal Electronics Inc,0.25
EXLS,ExlService Holdings Inc,0.25
FWRD,Forward Air Corp,0.25
WTS,Watts Water Technologies Inc,0.25
SCL,Stepan Co,0.25
MSTR,MicroStrategy Inc,0.25
PJC,Piper Jaffray Cos,0.24
INVA,Innoviva Inc.,0.24
CRZO,Carrizo Oil & Gas Inc,0.24
CPF,Central Pacific Financial Corp,0.24
SFNC,Simmons First National Corp,0.24
LDL,Lydall Inc,0.23
CVGW,Calavo Growers Inc,0.23
CUBI,Customers Bancorp Inc,0.23
FBP,First BanCorp/Puerto Rico,0.23
KRA,Kraton Performance Polymers Inc,0.23
USPH,US Physical Therapy Inc,0.23
CPLA,Capella Education Co,0.23
VVI,Viad Corp,0.23
MEI,Methode Electronics Inc,0.23
SBRA,Sabra Health Care REIT Inc,0.22
MNTA,Momenta Pharmaceuticals Inc,0.22
SBSI,Southside Bancshares Inc,0.22
TREE,LendingTree Inc,0.22
MDXG,MiMedx Group Inc,0.22
WABC,Westamerica Bancorporation,0.22
PFS,Provident Financial Services Inc,0.21
NBHC,National Bank Holdings Corp,0.21
FELE,Franklin Electric Co Inc,0.21
NP,Neenah Paper Inc,0.21
UVE,Universal Insurance Holdings Inc,0.21
NFBK,Northfield Bancorp Inc,0.21
TNC,Tennant Co,0.2
PGNX,Progenics Pharmaceuticals Inc,0.2
BPFH,Boston Private Financial Holdings Inc,0.2
ATU,Actuant Corp,0.2
WGO,Winnebago Industries Inc,0.2
WWE,World Wrestling Entertainment Inc,0.2
AMAG,AMAG Pharmaceuticals Inc,0.2
AIN,Albany International Corp,0.2
BEAT,BioTelemetry Inc,0.2
CSGS,CSG Systems International Inc,0.2
MNRO,Monro Muffler Brake Inc,0.2
SSTK,Shutterstock Inc,0.2
AWR,American States Water Co,0.19
FCF,First Commonwealth Financial Corp,0.19
FOXF,Fox Factory Holding Corp,0.19
CNSL,Consolidated Communications Holdings Inc,0.19
MGLN,Magellan Health Inc,0.19
KLIC,Kulicke & Soffa Industries Inc.,0.19
WING,Wingstop Inc,0.19
GDOT,Green Dot Corp,0.19
IPHS,Innophos Holdings Inc,0.19
CEVA,CEVA Inc,0.19
INGN,Inogen Inc,0.19
IOSP,Innospec Inc,0.19
BRKS,Brooks Automation Inc,0.19
SRCI,SRC Energy Inc,0.19
AMSF,AMERISAFE Inc,0.19
NPO,EnPro Industries Inc,0.18
NANO,Nanometrics Inc,0.18
CTS,CTS Corp,0.18
GFF,Griffon Corp,0.18
HF,HFF Inc,0.18
NX,Quanex Building Products Corp,0.17
BRKL,Brookline Bancorp Inc,0.17
LMNX,Luminex Corp,0.17
RTEC,Rudolph Technologies Inc,0.17
USCR,US Concrete Inc,0.17
SAIA,Saia Inc,0.17
MYRG,MYR Group Inc,0.17
SONC,Sonic Corp,0.17
GTY,Getty Realty Corp,0.17
ADTN,ADTRAN Inc,0.16
AMWD,American Woodmark Corp,0.16
FSP,Franklin Street Properties Corp,0.16
EGRX,Eagle Pharmaceuticals Inc/DE,0.16
ABAX,Abaxis Inc,0.16
RAVN,Raven Industries Inc,0.16
LABL,Multi-Color Corp,0.16
BOBE,Bob Evans Farms Inc/DE,0.16
FRAN,Francesca's Holdings Corp,0.15
IIIN,Insteel Industries Inc,0.15
TTS,Tile Shop Holdings Inc,0.15
SCSS,Select Comfort Corp,0.15
MINI,Mobile Mini Inc,0.15
MCS,Marcus Corp,0.15
VECO,Veeco Instruments Inc,0.15
HSTM,HealthStream Inc,0.15
UBA,Urstadt Biddle Properties Inc,0.15
ELY,Callaway Golf Co,0.15
DEPO,Depomed Inc,0.14
BABY,Natus Medical Inc,0.14
HTLD,Heartland Express Inc,0.14
KOP,Koppers Holdings Inc,0.14
LGIH,LGI Homes Inc,0.13
GTLS,Chart Industries Inc,0.13
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.13
CHCO,City Holding Co,0.13
BFS,Saul Centers Inc,0.13
PGTI,PGT Inc,0.13
UHT,Universal Health Realty Income Trust,0.13
SCLN,SciClone Pharmaceuticals Inc,0.12
CIR,CIRCOR International Inc,0.12
EBS,Emergent BioSolutions Inc,0.12
SMCI,Super Micro Computer Inc,0.12
LDR,Landauer Inc,0.12
CCRN,Cross Country Healthcare Inc,0.12
CHUY,Chuy's Holdings Inc,0.12
DEL,Deltic Timber Corp,0.12
HSC,Harsco Corp,0.12
PEI,Pennsylvania Real Estate Investment Trust,0.12
DIN,DineEquity Inc,0.12
PLUS,ePlus Inc,0.12
TVTY,Tivity Health Inc.,0.11
CBB,Cincinnati Bell Inc,0.11
HT,Hersha Hospitality Trust,0.11
EPAY,Bottomline Technologies de Inc,0.11
ENSG,Ensign Group Inc,0.11
CRY,CryoLife Inc,0.11
ALG,Alamo Group Inc,0.11
ANIK,Anika Therapeutics Inc,0.11
UNT,Unit Corp,0.11
LNN,Lindsay Corp,0.11
ETH,Ethan Allen Interiors Inc,0.11
STRA,Strayer Education Inc,0.11
PKY,Parkway Properties Inc/Md,0.11
HLX,Helix Energy Solutions Group Inc,0.11
TRST,TrustCo Bank Corp NY,0.1
COKE,Coca-Cola Bottling Co Consolidated,0.1
SHLM,A Schulman Inc,0.1
SHAK,Shake Shack Inc,0.1
ALOG,Analogic Corp,0.1
ENTA,Enanta Pharmaceuticals Inc,0.1
ATNI,Atlantic Tele-Network Inc,0.09
FORR,Forrester Research Inc,0.09
OXM,Oxford Industries Inc,0.09
ANIP,ANI Pharmaceuticals Inc,0.09
HIBB,Hibbett Sports Inc,0.09
GHL,Greenhill & Co Inc,0.09
AROC,Archrock Inc.,0.09
DCOM,Dime Community Bancshares Inc,0.09
NLS,Nautilus Inc,0.09
UTEK,Ultratech Inc,0.09
CENT,Central Garden & Pet Co,0.09
TLRD,Tailored Brands Inc.,0.08
TYPE,Monotype Imaging Holdings Inc,0.08
SRDX,SurModics Inc,0.08
AMPH,Amphastar Pharmaceuticals Inc,0.08
ORIT,Oritani Financial Corp,0.08
CECO,Career Education Corp,0.08
FARO,FARO Technologies Inc,0.08
ZUMZ,Zumiez Inc,0.07
IPAR,Inter Parfums Inc,0.07
HWKN,Hawkins Inc,0.07
EXAR,Exar Corp,0.07
MRTN,Marten Transport Ltd,0.07
OFIX,Orthofix International NV,0.07
MED,Medifast Inc,0.07
RUTH,Ruth's Hospitality Group Inc,0.07
AVAV,Aerovironment Inc,0.07
SCMP,Sucampo Pharmaceuticals Inc,0.06
REX,REX American Resources Corp,0.06
BH,Biglari Holdings Inc,0.06
VICR,Vicor Corp,0.06
PETS,PetMed Express Inc,0.06
CAMP,CalAmp Corp,0.06
VIVO,Meridian Bioscience Inc,0.06
FTK,Flotek Industries Inc,0.06
WLH,William Lyon Homes,0.05
XOXO,XO Group Inc,0.05
PAHC,Phibro Animal Health Corp,0.05
ORN,Orion Marine Group Inc,0.05
BKMU,Bank Mutual Corp,0.05
PES,Pioneer Energy Services Corp,0.04
BBG,Bill Barrett Corp,0.04
ICON,Iconix Brand Group Inc,0.04
VDSI,VASCO Data Security International Inc,0.04
LPSN,LivePerson Inc,0.04
CRVL,CorVel Corp,0.04
LMOS,Lumos Networks Corp,0.04
BELFB,Bel Fuse Inc,0.03
TESO,Tesco Corp,0.03
TTI,TETRA Technologies Inc,0.03
LOCO,El Pollo Loco Holdings Inc,0.03
KOPN,Kopin Corp,0.02
GEOS,Geospace Technologies Corp,0.02
DHX,DHI Group Inc,0.02
NOG,Northern Oil and Gas Inc,0.01
MCF,Contango Oil & Gas Co,0.01
Identifier,Name,0.0
