IWO,9.5600005E9
SFBS,ServisFirst Bancshares Inc,0.19
PTLA,Portola Pharmaceuticals Inc,0.19
PCH,Potlatch Corp,0.19
POWI,Power Integrations Inc,0.19
PLT,Plantronics Inc,0.19
PSMT,PriceSmart Inc,0.19
NXTM,NxStage Medical Inc,0.19
CRZO,Carrizo Oil & Gas Inc,0.19
FELE,Franklin Electric Co Inc,0.19
SSD,Simpson Manufacturing Co Inc,0.19
IPHI,Inphi Corp,0.18
PCRX,Pacira Pharmaceuticals Inc/DE,0.18
SYNA,Synaptics Inc,0.18
MNRO,Monro Muffler Brake Inc,0.18
CCOI,Cogent Communications Holdings Inc,0.18
HW,Headwaters Inc,0.18
UFPI,Universal Forest Products Inc,0.18
FFIN,First Financial Bankshares Inc,0.18
BYD,Boyd Gaming Corp,0.18
APOG,Apogee Enterprises Inc,0.17
SFLY,Shutterfly Inc,0.17
BOFI,BofI Holding Inc,0.17
CHS,Chico's FAS Inc,0.17
PLKI,Popeyes Louisiana Kitchen Inc,0.17
ROIC,Retail Opportunity Investments Corp,0.17
WTS,Watts Water Technologies Inc,0.17
CBM,Cambrex Corp,0.17
SWFT,Swift Transportation Co,0.17
SRPT,Sarepta Therapeutics Inc,0.17
EBIX,Ebix Inc,0.17
RNG,RingCentral Inc,0.17
PEGA,Pegasystems Inc,0.17
CORE,Core-Mark Holding Co Inc,0.16
BLUE,Bluebird Bio Inc,0.16
MSA,MSA Safety Inc,0.16
CPS,Cooper-Standard Holding Inc,0.16
AXL,American Axle & Manufacturing Holdings Inc,0.16
GVA,Granite Construction Inc,0.16
WDFC,WD-40 Co,0.16
CYNO,Cynosure Inc,0.16
IRBT,iRobot Corp,0.16
ICUI,ICU Medical Inc,0.16
DDD,3D Systems Corp,0.16
HMSY,HMS Holdings Corp,0.16
COLM,Columbia Sportswear Co,0.16
AZZ,AZZ Inc,0.16
RXN,Rexnord Corp,0.16
EXPO,Exponent Inc,0.16
SCAI,Surgical Care Affiliates Inc,0.16
NTRI,Nutrisystem Inc,0.16
HALO,Halozyme Therapeutics Inc,0.16
MEI,Methode Electronics Inc,0.16
HUBG,Hub Group Inc,0.16
ENV,Envestnet Inc,0.16
LTC,LTC Properties Inc,0.16
MXL,MaxLinear Inc,0.15
EXLS,ExlService Holdings Inc,0.15
AAON,AAON Inc,0.15
PRAH,PRA Health Sciences Inc,0.15
EGBN,Eagle Bancorp Inc,0.15
MTSI,M/A-COM Technology Solutions Holdings Inc,0.15
NPO,EnPro Industries Inc,0.15
AIRM,Air Methods Corp,0.15
SCS,Steelcase Inc,0.15
FWRD,Forward Air Corp,0.15
NSP,Insperity Inc,0.15
TWOU,2U Inc,0.15
FN,Fabrinet,0.15
AERI,Aerie Pharmaceuticals Inc,0.15
MTX,Minerals Technologies Inc,0.15
GK,G&K Services Inc,0.15
AMED,Amedisys Inc,0.15
OMCL,Omnicell Inc,0.14
BRC,Brady Corp,0.14
THRM,Gentherm Inc,0.14
BID,Sotheby's,0.14
UNVR,Univar Inc,0.14
UBNT,Ubiquiti Networks Inc,0.14
FIX,Comfort Systems USA Inc,0.14
EGOV,NIC Inc,0.14
SUPN,Supernus Pharmaceuticals Inc,0.14
FGEN,FibroGen Inc,0.14
DOC,Physicians Realty Trust,0.14
SAM,Boston Beer Co Inc,0.14
MOH,Molina Healthcare Inc,0.14
BLDR,Builders FirstSource Inc,0.13
MYGN,Myriad Genetics Inc,0.13
PRLB,Proto Labs Inc,0.13
TDY,Teledyne Technologies Inc,0.13
KWR,Quaker Chemical Corp,0.13
SHEN,Shenandoah Telecommunications Co,0.13
TBPH,THERAVANCE BIOPHARMA INC,0.13
EGHT,8x8 Inc,0.13
NP,Neenah Paper Inc,0.13
TNET,TriNet Group Inc,0.13
ABG,Asbury Automotive Group Inc,0.13
SEAS,SeaWorld Entertainment Inc,0.13
BABY,Natus Medical Inc,0.13
CSGS,CSG Systems International Inc,0.13
MPW,Medical Properties Trust Inc,0.13
CALD,Callidus Software Inc,0.13
BSFT,BroadSoft Inc,0.13
RDUS,Radius Health Inc,0.13
SPNC,Spectranetics Corp,0.13
FCFS,First Cash Financial Services Inc,0.13
INGN,Inogen Inc,0.13
PBYI,Puma Biotechnology Inc,0.13
AMWD,American Woodmark Corp,0.13
BOBE,Bob Evans Farms Inc/DE,0.12
TASR,TASER International Inc,0.12
IMPV,Imperva Inc,0.12
W,Wayfair Inc,0.12
TNC,Tennant Co,0.12
ABCB,Ameris Bancorp,0.12
FOE,Ferro Corp,0.12
HSNI,HSN Inc,0.12
NTGR,NETGEAR Inc,0.12
CHFC,Chemical Financial Corp,0.12
RGEN,Repligen Corp,0.12
ONCE,Spark Therapeutics Inc,0.12
MGLN,Magellan Health Inc,0.12
GIMO,Gigamon Inc,0.12
KNL,Knoll Inc,0.12
SGMS,Scientific Games Corp,0.11
ALDR,Alder Biopharmaceuticals Inc,0.11
XPER,XPERI CORP,0.11
TILE,Interface Inc,0.11
ALEX,Alexander & Baldwin Inc,0.11
CHMT,Chemtura Corp,0.11
HF,HFF Inc,0.11
ABAX,Abaxis Inc,0.11
ACXM,Acxiom Corp,0.11
CDE,Coeur Mining Inc,0.11
ETSY,Etsy Inc,0.11
AWR,American States Water Co,0.11
KFY,Korn/Ferry International,0.11
AOBC,AMERICAN OUTDOOR BRANDS CORP,0.11
SGYP,Synergy Pharmaceuticals Inc,0.11
SNCR,Synchronoss Technologies Inc,0.11
PEGI,Pattern Energy Group Inc,0.11
ECOL,US Ecology Inc,0.11
SCSS,Select Comfort Corp,0.11
MYCC,ClubCorp Holdings Inc,0.11
WETF,WisdomTree Investments Inc,0.11
SONC,Sonic Corp,0.11
TVPT,Travelport Worldwide Ltd,0.11
ORA,Ormat Technologies Inc,0.11
PATK,Patrick Industries Inc,0.11
FOLD,Amicus Therapeutics Inc,0.11
IBP,Installed Building Products Inc,0.11
BPMC,Blueprint Medicines Corp,0.11
INFN,Infinera Corp,0.1
MGEE,MGE Energy Inc,0.1
INSM,Insmed Inc,0.1
BMCH,BMC STOCK HOLDINGS INC,0.1
MINI,Mobile Mini Inc,0.1
CWT,California Water Service Group,0.1
CTRE,CareTrust REIT Inc,0.1
BMI,Badger Meter Inc,0.1
EBS,Emergent BioSolutions Inc,0.1
USCR,US Concrete Inc,0.1
LTRPA,Liberty TripAdvisor Holdings Inc,0.1
DEPO,Depomed Inc,0.1
CVCO,Cavco Industries Inc,0.1
LABL,Multi-Color Corp,0.1
RGR,Sturm Ruger & Co Inc,0.1
ENS,EnerSys,0.1
PENN,Penn National Gaming Inc,0.1
PRIM,Primoris Services Corp,0.1
CVG,Convergys Corp,0.1
AIT,Applied Industrial Technologies Inc,0.1
TXMD,TherapeuticsMD Inc,0.1
MSTR,MicroStrategy Inc,0.1
UEIC,Universal Electronics Inc,0.1
SXI,Standex International Corp,0.1
SPSC,SPS Commerce Inc,0.1
BCC,Boise Cascade Co,0.1
AMSF,AMERISAFE Inc,0.1
HTLD,Heartland Express Inc,0.1
QLYS,Qualys Inc,0.1
GLOB,GLOBANT SA,0.1
IPHS,Innophos Holdings Inc,0.1
CALM,Cal-Maine Foods Inc,0.09
AGX,Argan Inc,0.09
CBPX,Continental Building Products Inc,0.09
CVGW,Calavo Growers Inc,0.09
BJRI,BJ's Restaurants Inc,0.09
MC,Moelis & Co,0.09
QTWO,Q2 Holdings Inc,0.09
CLW,Clearwater Paper Corp,0.09
INVA,INNOVIVA INC,0.09
DERM,Dermira Inc,0.09
XNCR,Xencor Inc,0.09
COKE,Coca-Cola Bottling Co Consolidated,0.09
USPH,US Physical Therapy Inc,0.09
FCH,FelCor Lodging Trust Inc,0.09
VRTU,Virtusa Corp,0.09
MDXG,MiMedx Group Inc,0.09
KW,Kennedy-Wilson Holdings Inc,0.09
FIZZ,National Beverage Corp,0.09
LDL,Lydall Inc,0.09
CSII,Cardiovascular Systems Inc,0.09
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.09
EVTC,EVERTEC Inc,0.09
WEB,Web.com Group Inc,0.09
DF,Dean Foods Co,0.09
ENSG,Ensign Group Inc,0.09
PFGC,PERFORMANCE FOOD GROUP,0.09
ALX,Alexander's Inc,0.09
GIII,G-III Apparel Group Ltd,0.09
EPAY,Bottomline Technologies de Inc,0.09
ROCK,Gibraltar Industries Inc,0.09
CPLA,Capella Education Co,0.09
LSCC,Lattice Semiconductor Corp,0.09
VGR,Vector Group Ltd,0.09
MTSC,MTS Systems Corp,0.09
OCLR,Oclaro Inc,0.09
TMHC,Taylor Morrison Home Corp,0.08
NEWR,New Relic Inc,0.08
BOX,Box Inc,0.08
CRAY,Cray Inc,0.08
OXM,Oxford Industries Inc,0.08
AIMC,Altra Industrial Motion Corp,0.08
PGNX,Progenics Pharmaceuticals Inc,0.08
CNSL,Consolidated Communications Holdings Inc,0.08
True,TrueCar Inc,0.08
WGO,Winnebago Industries Inc,0.08
DEL,Deltic Timber Corp,0.08
STAR,iStar Financial Inc,0.08
WRE,Washington Real Estate Investment Trust,0.08
ATU,Actuant Corp,0.08
TYPE,Monotype Imaging Holdings Inc,0.08
CNS,Cohen & Steers Inc,0.08
HMHC,Houghton Mifflin Harcourt Co,0.08
XLRN,Acceleron Pharma Inc,0.08
CSTE,CAESARSTONE LTD,0.08
HEES,H&E Equipment Services Inc,0.08
LC,LendingClub Corp,0.08
NBHC,National Bank Holdings Corp,0.08
NMBL,Nimble Storage Inc,0.08
PCTY,Paylocity Holding Corp,0.08
ZIOP,ZIOPHARM Oncology Inc,0.08
WMS,Advanced Drainage Systems Inc,0.08
QSII,Quality Systems Inc,0.08
TREE,LendingTree Inc,0.08
ETH,Ethan Allen Interiors Inc,0.08
GKOS,Glaukos Corp,0.08
BGC,General Cable Corp,0.08
SNHY,Sun Hydraulics Corp,0.08
SSTK,Shutterstock Inc,0.08
CORT,Corcept Therapeutics Inc,0.08
CHRS,Coherus Biosciences Inc,0.08
LNN,Lindsay Corp,0.08
WWE,World Wrestling Entertainment Inc,0.08
BEAT,BioTelemetry Inc,0.07
BANC,Banc of California Inc,0.07
EGRX,Eagle Pharmaceuticals Inc/DE,0.07
AMBA,Ambarella Inc,0.07
GEO,GEO Group Inc,0.07
QUOT,QUOTIENT TECHNOLOGY INC,0.07
DPLO,Diplomat Pharmacy Inc,0.07
LOXO,Loxo Oncology Inc,0.07
BRSS,Global Brass & Copper Holdings Inc,0.07
PSTG,PURE STORAGE INC CLASS A,0.07
CEVA,CEVA Inc,0.07
OFIX,Orthofix International NV,0.07
FR,First Industrial Realty Trust Inc,0.07
DENN,Denny's Corp,0.07
EXTR,Extreme Networks Inc,0.07
NGHC,National General Holdings Corp,0.07
RAVN,Raven Industries Inc,0.07
TISI,Team Inc,0.07
ADTN,ADTRAN Inc,0.07
IPXL,Impax Laboratories Inc,0.07
KOP,Koppers Holdings Inc,0.07
TR,Tootsie Roll Industries Inc,0.07
AJRD,Aerojet Rocketdyne Holdings Inc,0.07
TIVO,TiVo Inc,0.07
MGPI,MGP Ingredients Inc,0.07
GOGO,Gogo Inc,0.07
ISLE,Isle of Capri Casinos Inc,0.07
RRR,RED ROCK RESORTS ORS CLASS A INC,0.07
DBD,Diebold Inc,0.07
LXRX,Lexicon Pharmaceuticals Inc,0.07
GTT,GTT Communications Inc,0.07
CCF,Chase Corp,0.07
USNA,USANA Health Sciences Inc,0.06
HSTM,HealthStream Inc,0.06
UVE,Universal Insurance Holdings Inc,0.06
DHIL,Diamond Hill Investment Group Inc,0.06
GHDX,Genomic Health Inc,0.06
AAT,American Assets Trust Inc,0.06
PRSC,Providence Service Corp,0.06
FOXF,Fox Factory Holding Corp,0.06
AIMT,Aimmune Therapeutics Inc,0.06
PLUS,ePlus Inc,0.06
ATRO,Astronics Corp,0.06
HSKA,Heska Corp,0.06
WIN,WINDSTREAM HOLDINGS INC,0.06
RUTH,Ruth's Hospitality Group Inc,0.06
PRO,PROS Holdings Inc,0.06
LZB,La-Z-Boy Inc,0.06
SP,SP Plus Corp,0.06
REXR,Rexford Industrial Realty Inc,0.06
PLOW,Douglas Dynamics Inc,0.06
GTN,Gray Television Inc,0.06
SYNT,Syntel Inc,0.06
IMMU,Immunomedics Inc,0.06
ASTE,Astec Industries Inc,0.06
IIVI,II-VI Inc,0.06
NANO,Nanometrics Inc,0.06
DIN,DineEquity Inc,0.06
GPT,Gramercy Property Trust Inc,0.06
EME,EMCOR Group Inc,0.06
FTK,Flotek Industries Inc,0.06
OLLI,Ollie's Bargain Outlet Holdings Inc,0.06
GHL,Greenhill & Co Inc,0.06
DAR,Darling Ingredients Inc,0.06
UHT,Universal Health Realty Income Trust,0.06
ATRI,Atrion Corp,0.06
MATX,Matson Inc,0.06
MGNX,MacroGenics Inc,0.06
GBT,GLOBAL BLOOD THERAPEUTICS INC,0.06
FRAN,Francesca's Holdings Corp,0.06
HRTX,Heron Therapeutics Inc,0.06
IIIN,Insteel Industries Inc,0.06
SMP,Standard Motor Products Inc,0.06
KFRC,Kforce Inc,0.06
GFF,Griffon Corp,0.06
OSUR,OraSure Technologies Inc,0.06
TTS,Tile Shop Holdings Inc,0.06
CAMP,CalAmp Corp,0.06
BFS,Saul Centers Inc,0.05
ORBC,ORBCOMM Inc,0.05
VNDA,Vanda Pharmaceuticals Inc,0.05
HIBB,Hibbett Sports Inc,0.05
PDFS,PDF Solutions Inc,0.05
ECHO,Echo Global Logistics Inc,0.05
FIVN,Five9 Inc,0.05
QDEL,Quidel Corp,0.05
PLNT,PLANET FITNESS INC CLASS A,0.05
FLXN,Flexion Therapeutics Inc,0.05
TDOC,TELADOC INC,0.05
ITCI,Intra-Cellular Therapies Inc,0.05
GNMK,GenMark Diagnostics Inc,0.05
TGTX,TG Therapeutics Inc,0.05
BCRX,BioCryst Pharmaceuticals Inc,0.05
AKR,Acadia Realty Trust,0.05
VVI,Viad Corp,0.05
ELGX,Endologix Inc,0.05
NLS,Nautilus Inc,0.05
SITE,SITEONE LANDSCAPE SUPPLY INC,0.05
ERI,Eldorado Resorts Inc,0.05
ROG,Rogers Corp,0.05
LORL,Loral Space & Communications Inc,0.05
KBAL,Kimball International Inc,0.05
SRI,Stoneridge Inc,0.05
MMSI,Merit Medical Systems Inc,0.05
KALU,Kaiser Aluminum Corp,0.05
GNCMA,General Communication Inc,0.05
CUDA,Barracuda Networks Inc,0.05
UIS,Unisys Corp,0.05
ANIK,Anika Therapeutics Inc,0.05
TTEC,TeleTech Holdings Inc,0.05
MSEX,Middlesex Water Co,0.05
EIGI,Endurance International Group Holdings Inc,0.05
PGTI,PGT Inc,0.05
PAHC,Phibro Animal Health Corp,0.05
GRC,Gorman-Rupp Co,0.05
SHAK,Shake Shack Inc,0.05
SCLN,SciClone Pharmaceuticals Inc,0.05
LJPC,La Jolla Pharmaceutical Co,0.05
MPAA,Motorcar Parts of America Inc,0.05
EPZM,Epizyme Inc,0.05
ACHN,Achillion Pharmaceuticals Inc,0.05
CROX,Crocs Inc,0.05
FRGI,Fiesta Restaurant Group Inc,0.05
MDC,MDC Holdings Inc,0.05
LDR,Landauer Inc,0.05
GNC,GNC Holdings Inc,0.05
UBA,Urstadt Biddle Properties Inc,0.05
AXDX,Accelerate Diagnostics Inc,0.05
AMPH,Amphastar Pharmaceuticals Inc,0.05
VIVO,Meridian Bioscience Inc,0.05
NSR,NeuStar Inc,0.05
CHUY,Chuy's Holdings Inc,0.05
MSGN,MSG NETWORKS INC CLASS A,0.05
ATRC,AtriCure Inc,0.05
CCRN,Cross Country Healthcare Inc,0.04
INO,Inovio Pharmaceuticals Inc,0.04
CYTK,Cytokinetics Inc,0.04
CBF,Capital Bank Financial Corp,0.04
LGIH,LGI Homes Inc,0.04
PRFT,Perficient Inc,0.04
SSYS,Stratasys Ltd,0.04
WHG,Westwood Holdings Group Inc,0.04
MED,Medifast Inc,0.04
KERX,Keryx Biopharmaceuticals Inc,0.04
FMI,Foundation Medicine Inc,0.04
LOB,Live Oak Bancshares Inc,0.04
HCKT,Hackett Group Inc,0.04
NCS,NCI Building Systems Inc,0.04
FORM,FormFactor Inc,0.04
LBIO,Lion Biotechnologies Inc,0.04
AVXS,AVEXIS INC,0.04
XOXO,XO Group Inc,0.04
CASS,Cass Information Systems Inc,0.04
TAST,Carrols Restaurant Group Inc,0.04
AHH,Armada Hoffler Properties Inc,0.04
PGEM,Ply Gem Holdings Inc,0.04
APFH,ADVANCEPIERRE FOODS HOLDINGS INC,0.04
OMAM,OM Asset Management Plc,0.04
NEO,NeoGenomics Inc,0.04
HDP,Hortonworks Inc,0.04
PNFP,Pinnacle Financial Partners Inc,0.04
AVP,Avon Products Inc,0.04
WTW,Weight Watchers International Inc,0.04
WING,Wingstop Inc,0.04
SWX,Southwest Gas Corp,0.04
CRVL,CorVel Corp,0.04
ATEN,A10 Networks Inc,0.04
VIRT,VIRTU FINANCIAL INC CLASS A,0.04
XENT,Intersect ENT Inc,0.04
HLI,HOULIHAN LOKEY INC CLASS A,0.04
STAA,STAAR Surgical Co,0.04
VCRA,Vocera Communications Inc,0.04
EVC,Entravision Communications Corp,0.04
PETS,PetMed Express Inc,0.04
CHSP,Chesapeake Lodging Trust,0.04
ARNA,Arena Pharmaceuticals Inc,0.04
ARAY,Accuray Inc,0.04
CSU,Capital Senior Living Corp,0.04
ADRO,Aduro Biotech Inc,0.04
RVNC,Revance Therapeutics Inc,0.04
YORW,York Water Co,0.04
FORR,Forrester Research Inc,0.04
MB,MINDBODY Inc,0.04
MBUU,Malibu Boats Inc,0.04
MMI,Marcus & Millichap Inc,0.04
WWW,Wolverine World Wide Inc,0.04
ACET,Aceto Corp,0.04
ELY,Callaway Golf Co,0.04
MG,Mistras Group Inc,0.04
NVAX,Novavax Inc,0.04
SSNI,Silver Spring Networks Inc,0.04
PACB,Pacific Biosciences of California Inc,0.04
QUAD,Quad/Graphics Inc,0.04
GPI,Group 1 Automotive Inc,0.04
CERS,Cerus Corp,0.04
TTEK,Tetra Tech Inc,0.04
EDR,Education Realty Trust Inc,0.04
BBSI,Barrett Business Services Inc,0.04
MPSX,MULTI PACKAGING SOLUTIONS INTERNAT,0.04
STRA,Strayer Education Inc,0.04
ANIP,ANI Pharmaceuticals Inc,0.04
AMC,AMC Entertainment Holdings Inc,0.04
AXON,Axovant Sciences Ltd,0.04
MLAB,Mesa Laboratories Inc,0.04
COTV,COTIVITI HOLDINGS INC,0.03
RMBS,Rambus Inc,0.03
CSV,Carriage Services Inc,0.03
NVCR,NOVOCURE LTD,0.03
GSAT,Globalstar Inc,0.03
LPSN,LivePerson Inc,0.03
WNC,Wabash National Corp,0.03
RYAM,Rayonier Advanced Materials Inc,0.03
CUBI,Customers Bancorp Inc,0.03
PPBI,Pacific Premier Bancorp Inc,0.03
VDSI,VASCO Data Security International Inc,0.03
NLNK,NewLink Genetics Corp,0.03
ADSW,ADVANCED DISPOSAL SERVICES INC,0.03
CARB,Carbonite Inc,0.03
CWH,CAMPING WORLD HOLDINGS INC CLASS A,0.03
KBH,KB Home,0.03
WPG,WP GLIMCHER Inc,0.03
INWK,InnerWorkings Inc,0.03
CRY,CryoLife Inc,0.03
WK,Workiva Inc,0.03
ACRS,ACLARIS THERAPEUTICS INC,0.03
PRMW,Primo Water Corp,0.03
RMR,RMR GROUP INC CLASS A,0.03
TRNO,Terreno Realty Corp,0.03
CFI,Culp Inc,0.03
CRIS,Curis Inc,0.03
OXFD,Oxford Immunotec Global PLC,0.03
BNFT,Benefitfocus Inc,0.03
GERN,Geron Corp,0.03
ZOES,Zoe's Kitchen Inc,0.03
ASPS,Altisource Portfolio Solutions SA,0.03
SPNS,Sapiens International Corp NV,0.03
LMAT,LeMaitre Vascular Inc,0.03
ALRM,Alarm.com Holdings Inc,0.03
TLGT,TELIGENT INC,0.03
TCBI,Texas Capital Bancshares Inc,0.03
PBPB,Potbelly Corp,0.03
HZN,Horizon Global Corp,0.03
STRP,Straight Path Communications Inc,0.03
IMGN,ImmunoGen Inc,0.03
SRDX,SurModics Inc,0.03
ADXS,Advaxis Inc,0.03
HZO,MarineMax Inc,0.03
VRNS,Varonis Systems Inc,0.03
GPX,GP Strategies Corp,0.03
PRTK,Paratek Pharmaceuticals Inc,0.03
LMNX,Luminex Corp,0.03
-,DYAX CORP CVR,0.03
PEI,Pennsylvania Real Estate Investment Trust,0.03
FRTA,FORTERRA INC,0.03
MYE,Myers Industries Inc,0.03
SGMO,Sangamo BioSciences Inc,0.03
BSTC,BioSpecifics Technologies Corp,0.03
NSTG,NanoString Technologies Inc,0.03
CPSI,Computer Programs & Systems Inc,0.03
RPD,Rapid7 Inc,0.03
CTMX,CYTOMX THERAPEUTICS INC,0.03
OMER,Omeros Corp,0.03
ONVO,Organovo Holdings Inc,0.03
SBRA,Sabra Health Care REIT Inc,0.03
NVTA,Invitae Corp,0.03
RIGL,Rigel Pharmaceuticals Inc,0.03
TTI,TETRA Technologies Inc,0.03
IPAR,Inter Parfums Inc,0.03
ERII,Energy Recovery Inc,0.03
FRP,FairPoint Communications Inc,0.03
ASNA,Ascena Retail Group Inc,0.02
SWM,Schweitzer-Mauduit International Inc,0.02
OMN,OMNOVA Solutions Inc,0.02
GMS,GMS INC,0.02
TIS,Orchids Paper Products Co,0.02
OSTK,Overstock.com Inc,0.02
DMRC,Digimarc Corp,0.02
VICR,Vicor Corp,0.02
BTX,BioTime Inc,0.02
NTRA,Natera Inc,0.02
ECOM,ChannelAdvisor Corp,0.02
MODN,Model N Inc,0.02
WATT,Energous Corp,0.02
