FXO,1.27E9
Z,Zillow Group Inc,0.55
AWH,Allied World Assurance Co Holdings AG,0.54
BBT,BB&T Corp,0.54
CCP,Care Capital Properties Inc.,0.54
IBKR,Interactive Brokers Group Inc,0.54
SYF,Synchrony Financial,0.54
TRI,Thomson Reuters Corp,0.54
HST,Host Hotels & Resorts Inc,0.53
CPT,Camden Property Trust,0.53
CLNS,Colony NorthStar Inc. (Class A),0.52
WEX,WEX Inc,0.52
WU,Western Union Co,0.51
CACC,Credit Acceptance Corp,0.5
KIM,Kimco Realty Corp,0.49
LAMR,Lamar Advertising Co,0.41
AFG,American Financial Group Inc/OH,0.4
FISV,Fiserv Inc,0.4
MMC,Marsh & McLennan Cos Inc,0.4
RJF,Raymond James Financial Inc,0.4
ALL,Allstate Corp,0.4
TSS,Total System Services Inc,0.4
DLR,Digital Realty Trust Inc,0.39
EWBC,East West Bancorp Inc,0.39
JKHY,Jack Henry & Associates Inc,0.39
MA,MasterCard Inc,0.39
PYPL,PayPal Holdings Inc,0.39
TMK,Torchmark Corp,0.39
USB,US Bancorp,0.39
CB,Chubb Corp,0.38
HBAN,Huntington Bancshares Inc/OH,0.38
MTB,M&T Bank Corp,0.38
NDAQ,NASDAQ OMX Group Inc,0.38
OUT,Outfront Media Inc,0.38
ASB,Associated Banc-Corp,0.37
BKU,BankUnited Inc,0.37
ETFC,E*TRADE Financial Corp,0.37
EPR,EPR Properties,0.37
OHI,Omega Healthcare Investors Inc,0.37
STWD,Starwood Property Trust Inc,0.37
GS,Goldman Sachs Group Inc,0.37
ARE,Alexandria Real Estate Equities Inc,0.36
CINF,Cincinnati Financial Corp,0.36
KRC,Kilroy Realty Corp,0.36
MET,MetLife Inc,0.36
AIG,American International Group Inc,0.35
BOKF,BOK Financial Corp,0.35
PBCT,People's United Financial Inc,0.35
GGP,General Growth Properties Inc,0.34
WRI,Weingarten Realty Investors,0.33
MKTX,MarketAxess Holdings Inc,0.24
MCO,Moody's Corp,0.22
TRU,TransUnion,0.22
EEFT,Euronet Worldwide Inc,0.21
LUK,Leucadia National Corp,0.21
AGNC,American Capital Agency Corp,0.2
NLY,Annaly Capital Management Inc,0.2
CBOE,CBOE Holdings Inc,0.2
CME,CME Group Inc/IL,0.2
FDS,FactSet Research Systems Inc,0.2
MKL,Markel Corp,0.2
SLM,SLM Corp,0.2
AON,Aon PLC,0.19
AVB,AvalonBay Communities Inc,0.19
BLK,BlackRock Inc,0.19
CXP,Columbia Property Trust Inc,0.19
CMA,Comerica Inc,0.19
CFR,Cullen/Frost Bankers Inc,0.19
EQIX,Equinix Inc,0.19
WPC,WP Carey Inc,0.19
ESS,Essex Property Trust Inc,0.18
KEY,KeyCorp,0.18
LPT,Liberty Property Trust,0.18
LSI,LSI Corp,0.18
NNN,National Retail Properties Inc,0.18
SLG,SL Green Realty Corp,0.18
HCN,Health Care REIT Inc,0.18
APLE,Apple Hospitality REIT Inc.,0.17
APAM,Artisan Partners Asset Management Inc,0.17
FII,Federated Investors Inc,0.17
FHN,First Horizon National Corp,0.17
PLD,Prologis Inc,0.17
RPAI,Retail Properties of America Inc,0.17
STOR,STORE Capital Corp,0.17
DNB,Dun & Bradstreet Corp,0.16
MISXX,Morgan Stanley Institutional Liquidity Funds - Treasury Portfolio,0.07
