DTD,6.6088998E8
ZAG AV,Zumtobel Group AG,0.0
BRG.AX,Breville Group Ltd,0.0
6674 JT,GS Yuasa Corp,0.0
EFGN SW,EFG International AG,0.0
6652 JT,Idec Corp/Japan,0.0
CERV IM,Cerved Information Solutions SpA,0.0
PIA IM,Piaggio & C SpA,0.0
8524 JT,North Pacific Bank Ltd,0.0
GHC.AX,Generation Healthcare REIT,0.0
UNR1V FH,Uponor OYJ,0.0
PDG.LS,Pendragon PLC,0.0
MLD.AX,MACA Ltd,0.0
3258 JT,Unizo Holdings Co Ltd,0.0
PAY.LS,PayPoint PLC,0.0
1959 JT,Kyudenko Corp,0.0
6361 JT,Ebara Corp,0.0
EGL PL,Mota Engil SGPS Sa,0.0
API.AX,Australian Pharmaceutical Industries Ltd,0.0
KLR.LS,Keller Group PLC,0.0
CGCBV FH,Cargotec Corp,0.0
HFA.AX,HFA Holdings Ltd,0.0
CKF.AX,Collins Foods Ltd,0.0
CAI IM,Cairo Communication SpA,0.0
CRST.LS,Crest Nicholson Holdings plc,0.0
7246 JT,Press Kogyo Co Ltd,0.0
PZC.LS,PZ Cussons PLC,0.0
2678 JT,ASKUL Corp,0.0
AHG.AX,Automotive Holdings Group Ltd,0.0
BOCS SP,Boustead Singapore Ltd,0.0
9072 JT,Nippon Konpo Unyu Soko Co Ltd,0.0
7266 JP,Imasen Electric Industrial,0.0
ACANB SS,Acando AB,0.0
8336 JT,Musashino Bank Ltd,0.0
CVAL IM,Credito Valtellinese Scarl,0.0
6517 JT,Denyo Co Ltd,0.0
BVS.LS,Bovis Homes Group PLC,0.0
MER.LS,Mears Group PLC,0.0
9759 JT,NSD Co Ltd,0.0
VRL.AX,Village Roadshow Ltd,0.0
INDT SS,Indutrade AB,0.0
5440 JT,Kyoei Steel Ltd,0.0
8242 JT,H2O Retailing Corp,0.0
AFPR IT,Africa Israel Properties Ltd,0.0
3201 JT,Japan Wool Textile Co Ltd,0.0
7516 JT,Kohnan Shoji Co Ltd,0.0
HHFA GY,Hamburger Hafen und Logistik AG,0.0
4215 JT,Takiron Co Ltd,0.0
5809 JT,Tatsuta Electric Wire and Cable Co Ltd,0.0
NVT.AX,Navitas Ltd,0.0
6480 JT,Nippon Thompson Co Ltd,0.0
TECN SW,Tecan Group AG,0.0
CWY.AX,Cleanaway Waste Management Ltd,0.0
BAG.LS,A.G.Barr PLC,0.0
3738 JT,T-Gaia Corp,0.0
8628 JT,Matsui Securities Co Ltd,0.0
NUM.LS,Numis Corp PLC,0.0
4534 JT,Mochida Pharmaceutical Co Ltd,0.0
639 HK,Fushan International Energy Gr,0.0
NONG NO,Sparebank 1 Nord Norge,0.0
KOG NO,Kongsberg Gruppen ASA,0.0
PMV.AX,Premier Investments Ltd,0.0
BBED NA,Beter Bed Holding NV,0.0
8392 JT,Oita Bank Ltd,0.0
BRW.LS,Brewin Dolphin Holdings PLC,0.0
1973 JT,NEC Networks & System Integrat,0.0
RHI AV,RHI AG,0.0
REG.AX,Regis Healthcare Ltd,0.0
ATS AV,Austria Technologie & Systemtechnik AG,0.0
REDD.LS,Redde PLC,0.0
TWEKA NA,TKH Group NV,0.0
5445 JP,Tokyo Tekko Co Ltd,0.0
9934 JT,Inaba Denki Sangyo Co Ltd,0.0
OUE SP,OUE Ltd,0.0
1983 JP,Toshiba Plant Systems & Services Corp,0.0
RFMD SP,Raffles Medical Group Ltd,0.0
BPSO IM,Banca Popolare di Sondrio SCARL,0.0
FSC1V FH,F-Secure OYJ,0.0
7189 JP,Nishi-Nippon Financial Holding,0.0
2264 JT,Morinaga Milk Industry Co Ltd,0.0
8890 JP,Raysum Co Ltd,0.0
NOBINA SS,Nobina AB,0.0
TEP.LS,Telecom Plus PLC,0.0
1111 HK,Chong Hing Bank Ltd,0.0
6857 JT,Advantest Corp,0.0
ALQ.AX,ALS Ltd,0.0
6961 JT,Enplas Corp,0.0
CCC.LS,Computacenter PLC,0.0
9757 JT,Funai Soken Holdings Inc,0.0
MUNK1 FH,Munksjo Oyj,0.0
9110 JT,NS United Kaiun Kaisha Ltd,0.0
BAMI IM,Banco BPM Spa,0.0
5471 JT,Daido Steel Co Ltd,0.0
CRA1V FH,Cramo OYJ,0.0
IP IM,Interpump Group SpA,0.0
3880 JT,Daio Paper Corp,0.0
GUD.AX,GUD Holdings Ltd,0.0
MGAM.LS,Morgan Advanced Materials PLC,0.0
JDW.LS,J D Wetherspoon PLC,0.0
DAL IM,Datalogic SpA,0.0
SCHO DC,Schouw & Co,0.0
420 HK,Fountain Set Hldgs,0.0
LCL.LS,Ladbrokes Coral Group PLC,0.0
GNC.LS,Greencore Group PLC,0.0
6727 JT,Wacom Co Ltd,0.0
9997 JT,Belluna Co Ltd,0.0
AFB SS,AF AB,0.0
536 HK,Tradelink Electronic Commerce,0.0
FAE SM,Faes Farma SA,0.0
7458 JT,Daiichikosho Co Ltd,0.0
7177 JP,GMO Click Holdings Inc,0.0
AFG NO,AF Gruppen ASA,0.0
APE.AX,AP Eagers Ltd,0.0
7718 JT,Star Micronics Co Ltd,0.0
RBD NZ,Restaurant Brands New Zealand Ltd,0.0
4540 JT,Tsumura & Co,0.0
5715 JT,Furukawa Co Ltd,0.0
8282 JT,K's Holdings Corp,0.0
5214 JP,Nippon Electric Glass Co Ltd,0.0
8543 JT,Minato Bank Ltd,0.0
7729 JT,Tokyo Seimitsu Co Ltd,0.0
CRBN NA,Corbion NV,0.0
9605 JP,Toei Co Ltd,0.0
4917 JT,Mandom Corp,0.0
8219 JT,Aoyama Trading Co Ltd,0.0
SCST SS,Scandi Standard AB,0.0
BKW.AX,Brickworks Ltd,0.0
ENC SM,Ence Energia y Celulosa SA,0.0
6976 JT,Taiyo Yuden Co Ltd,0.0
BSS IM,Biesse SpA,0.0
UEM SP,United Engineers Ltd,0.0
VTU.LS,Vertu Motors PLC,0.0
SXL.AX,Southern Cross Media Group Ltd,0.0
8078 JT,Hanwa Co Ltd,0.0
MYR.AX,Myer Holdings Ltd,0.0
RPS.LS,RPS Group PLC,0.0
SVS.LS,Savills PLC,0.0
STRS IT,Strauss Group Ltd,0.0
2607 JT,Fuji Oil Co Ltd/Osaka,0.0
RSW.LS,Renishaw PLC,0.0
DUST SS,Dustin Group AB,0.0
SUPER SP,Super Group Ltd/Singapore,0.0
SWM.AX,Seven West Media Ltd,0.0
GMS.LS,Gulf Marine Services PLC,0.0
GMM GY,Grammer AG,0.0
LEO GY,Leoni AG,0.0
6470 JT,Taiho Kogyo Co Ltd,0.0
3050 JT,DCM Holdings Co Ltd,0.0
5929 JT,Sanwa Holdings Corp,0.0
BLX.AX,Beacon Lighting Group Ltd,0.0
5384 JT,Fujimi Inc,0.0
DFJ,WisdomTree Japan SmallCap Dividend Fund,0.0
WIL.LS,Wilmington Group PLC,0.0
1951 JT,Kyowa Exeo Corp,0.0
TGS NO,TGS Nopec Geophysical Co ASA,0.0
AUB.AX,Austbrokers Holdings Ltd,0.0
ACCEL NA,Accell Group,0.0
UDG.LS,UDG Healthcare PLC,0.0
6462 JT,Riken Corp,0.0
HFD.LS,Halfords Group PLC,0.0
5105 JT,Toyo Tire & Rubber Co Ltd,0.0
IPH.AX,IPH Limited,0.0
SNR.LS,Senior PLC,0.0
BC8 GY,Bechtle AG,0.0
8074 JT,Yuasa Trading Co Ltd,0.0
IPS FP,IPSOS,0.0
ARCAD NA,Arcadis NV,0.0
7606 JT,United Arrows Ltd,0.0
SBO NO,Selvaag Bolig ASA,0.0
BGEO.LS,Bank of Georgia Holdings PLC,0.0
6464 JP,Tsubaki Nakashima Co Ltd,0.0
FR SP,First Resources Ltd,0.0
CIE SM,CIE Automotive SA,0.0
MCKS.LS,McKay Securities PLC,0.0
AVV.LS,AVEVA Group PLC,0.0
SPO.AX,Spotless Group Holdings Ltd,0.0
RWA.LS,Robert Walters PLC,0.0
5413 JT,Nisshin Steel Co Ltd,0.0
BWNG.LS,N Brown Group PLC,0.0
MT IM,Maire Tecnimont SpA,0.0
OVS IM,OVS SpA,0.0
9065 JT,Sankyu Inc,0.0
9075 JT,Fukuyama Transporting Co Ltd,0.0
1820 JT,Nishimatsu Construction Co Ltd,0.0
COMH SS,Com Hem Holding AB,0.0
5741 JT,UACJ Corp,0.0
7762 JT,Citizen Holdings Co Ltd,0.0
2001 JT,Nippon Flour Mills Co Ltd,0.0
JHC.AX,Japara Healthcare Ltd,0.0
AGL IM,Autogrill SpA,0.0
CTT PL,CTT-Correios de Portugal SA,0.0
RCG.AX,RCG Corp Ltd,0.0
FDM.LS,FDM Group Holdings PLC,0.0
7552 JT,Happinet Corp,0.0
6794 JT,Foster Electric Co Ltd,0.0
SKISB SS,SkiStar AB,0.0
IR5B ID,Irish Continental Group PLC,0.0
8393 JT,Miyazaki Bank Ltd,0.0
9069 JT,Senko Co Ltd,0.0
IBAB BB,Ion Beam Applications,0.0
BMAX SS,Byggmax Group AB,0.0
4044 JT,Central Glass Co Ltd,0.0
4203 JT,Sumitomo Bakelite Co Ltd,0.0
6877 JT,Obara Group Inc,0.0
4401 JP,ADEKA Corp,0.0
BETSB SS,Betsson AB,0.0
5444 JT,Yamato Kogyo Co Ltd,0.0
CIR IM,CIR-Compagnie Industriali Riunite SpA,0.0
DPH.LS,Dechra Pharmaceuticals PLC,0.0
HKSAV FH,HKScan OYJ,0.0
1924 JT,PanaHome Corp,0.0
NTG.LS,Northgate PLC,0.0
MYO.AX,MYOB Group Ltd,0.0
5703 JT,Nippon Light Metal Holdings Co Ltd,0.0
VATN SW,Valiant Holding AG,0.0
8088 JT,Iwatani Corp,0.0
9945 JT,Plenus Co Ltd,0.0
INH GY,Indus Holding AG,0.0
7593 JT,VT Holdings Co Ltd,0.0
HIQ SS,HIQ International AB,0.0
NOBI SS,Nobia AB,0.0
560 HK,Chu Kong Shipping Enterprises,0.0
EHE.AX,Estia Health Limited,0.0
PRY.AX,Primary Health Care Ltd,0.0
OKDBV FH,Oriola-KD OYJ,0.0
2270 JT,Megmilk Snow Brand Co Ltd,0.0
DLEA IT,Delek Automotive Systems Ltd,0.0
LOV.AX,Lovisa Holdings Ltd,0.0
6789 JT,Roland DG Corp,0.0
SIM DC,SimCorp A/S,0.0
5410 JP,Godo Steel Ltd,0.0
PAF.LS,Pan African Resources PLC,0.0
SYNT.LS,Synthomer PLC,0.0
8281 JT,Xebio Co Ltd,0.0
6390 JT,Kato Works Co Ltd,0.0
TOM NO,Tomra Systems ASA,0.0
8388 JT,Awa Bank Ltd,0.0
KLED SS,Kungsleden AB,0.0
RDW.LS,Redrow PLC,0.0
FSJ.LS,James Fisher & Sons PLC,0.0
IGD IM,Immobiliare Grande Distribuzione SIIQ SpA,0.0
8703 JT,kabu.com Securities Co Ltd,0.0
PAALB DC,Per Aarsleff Holding AS B,0.0
9832 JT,Autobacs Seven Co Ltd,0.0
ATK.LS,WS Atkins PLC,0.0
WPP.AX,WPP Aunz Ltd,0.0
6141 JT,DMG Mori Co Ltd,0.0
QQ..LS,QinetiQ Group PLC,0.0
ITABB SS,Itab Shop Concept AB,0.0
KMD NZ,Kathmandu Holdings Ltd,0.0
3197 JP,Skylark Co Ltd,0.0
7256 JP,Kasai Kogyo Co Ltd,0.0
9031 JT,Nishi-Nippon Railroad Co Ltd,0.0
STS IM,Ansaldo STS SpA,0.0
3156 JT,UKC Holdings Corp,0.0
JEN GY,Jenoptik AG,0.0
RTN.LS,Restaurant Group PLC,0.0
9025 JP,Konoike Transport Co Ltd,0.0
RFRG NA,Refresco Group NV,0.0
KIT SP,Keppel Infrastructure Trust,0.0
SFR.AX,Sandfire Resources NL,0.0
5803 JT,Fujikura Ltd,0.0
CE IM,Credito Emiliano SpA,0.0
BULTEN SS,Bulten AB,0.0
PROTCT NO,Protector Forsikring ASA,0.0
AMOT IT,Amot Investments Ltd,0.0
DDR.AX,Dicker Data Limited,0.0
ZIL2 GY,ElringKlinger AG,0.0
2815 JT,Ariake Japan Co Ltd,0.0
BAN IM,BasicNet SpA,0.0
AGR.LS,Assura PLC,0.0
RMR1V FH,Ramirent OYJ,0.0
TGR.AX,Tassal Group Ltd,0.0
CAB.AX,Cabcharge Australia Ltd,0.0
SKT NZ,SKY Network Television Ltd,0.0
3395 JT,St Marc Holdings Co Ltd,0.0
1833 JT,Okumura Corp,0.0
CWK.LS,Cranswick PLC,0.0
GXL.AX,Greencross Ltd,0.0
MING NO,SpareBank 1 SMN,0.0
7943 JT,Nichiha Corp,0.0
CLIN.LS,Clinigen Group Plc,0.0
SHI.LS,SIG PLC,0.0
APTT SP,Asian Pay Television Trust,0.0
MQ SS,MQ Holding AB,0.0
3002 JT,Gunze Ltd,0.0
KNOW SS,KNOW IT AB,0.0
GWA.AX,GWA Group Ltd,0.0
BKL.AX,Blackmores Ltd,0.0
WAC GY,Wacker Neuson SE,0.0
4008 JT,Sumitomo Seika Chemicals Co Ltd,0.0
8600 JT,TOMONY Holdings Inc,0.0
SGM.AX,Sims Metal Management Ltd,0.0
7278 JT,Exedy Corp,0.0
7840 JT,France Bed Holdings Co Ltd,0.0
1883 HK,CITIC Telecom International Holdings Ltd,0.0
SAL IM,Salini Impregilo SpA,0.0
9869 JT,Kato Sangyo Co Ltd,0.0
DEB.LS,Debenhams PLC,0.0
7994 JT,Okamura Corp,0.0
6103 JT,OKUMA Corp,0.0
6383 JT,Daifuku Co Ltd,0.0
9990 JP,Sac's Bar Holdings Inc,0.0
RCR.AX,RCR Tomlinson Ltd,0.0
SAY SM,Saeta Yield S.A.,0.0
6624 JP,Tabuchi Electric Co Ltd,0.0
POLR.LS,Polar Capital Holdings PLC,0.0
BYG.LS,Big Yellow Group PLC,0.0
IMF.AX,IMF Bentham Ltd,0.0
CTY1S FH,Citycon OYJ,0.0
6474 JT,Nachi-Fujikoshi Corp,0.0
7231 JT,Topy Industries Ltd,0.0
2730 JT,EDION Corp,0.0
HARL IT,Harel Insurance Investments & Financial Services Ltd,0.0
AVGL IT,Avgol Industries 1953 Ltd,0.0
ZPLA.LS,Zoopla Property Group PLC,0.0
MTRX IT,Matrix IT Ltd,0.0
INWI SS,Inwido AB,0.0
NOEJ GY,Norma Group SE,0.0
INRM IT,Inrom Construction Industries,0.0
HLCL.LS,Helical Bar PLC,0.0
8425 JP,IBJ Leasing Co Ltd,0.0
ESUR.LS,esure Group PLC,0.0
RROS SS,Rottneros AB,0.0
RHT SP,RHT Health Trust,0.0
DCG.LS,Dairy Crest Group PLC,0.0
REZT SS,Rezidor Hotel Group AB,0.0
OGN ID,Origin Enterprises PLC,0.0
AKER NO,Aker ASA,0.0
HEMF SS,Hemfosa Fastigheter AB,0.0
9699 JT,Nishio Rent All Co Ltd,0.0
ELAL IT,El Al Israel Airlines,0.0
VED.LS,Vedanta Resources PLC,0.0
2327 JT,NS Solutions Corp,0.0
SPI.LS,Spire Healthcare Group PLC,0.0
7581 JT,Saizeriya Co Ltd,0.0
NVG PL,Navigator Co SA,0.0
ULE.LS,Ultra Electronics Holdings PLC,0.0
906 HK,CPMC Holdings Ltd,0.0
YTY1V FH,YIT OYJ,0.0
UQA AV,UNIQA Insurance Group AG,0.0
CSN.LS,Chesnara PLC,0.0
6278 JT,Union Tool Co,0.0
MATAS DC,Matas A/S,0.0
511 HK,Television Broadcasts Ltd,0.0
9744 JT,Meitec Corp,0.0
8395 JT,Bank of Saga Ltd,0.0
8130 JT,Sangetsu Co Ltd,0.0
SRS IM,Saras SpA,0.0
3101 JT,Toyobo Co Ltd,0.0
MTR.AX,Mantra Group Ltd,0.0
3105 JT,Nisshinbo Holdings Inc,0.0
GNE NZ,Genesis Energy Ltd,0.0
PFV GY,Pfeiffer Vacuum Technology AG,0.0
218 HK,Shenwan Hongyuan HK Ltd,0.0
8050 JT,Seiko Holdings Corp,0.0
SVW.AX,Seven Group Holdings Ltd,0.0
1721 JT,COMSYS Holdings Corp,0.0
POSH SP,Pacc Offshore Services Holding,0.0
