IWM,4.4099998E10
RH,Restoration Hardware Holdings Inc,0.07
UNVR,Univar Inc,0.07
DSW,DSW Inc,0.07
LZB,La-Z-Boy Inc,0.07
MINI,Mobile Mini Inc,0.07
WNC,Wabash National Corp,0.07
NAV,Navistar International Corp,0.07
FIX,Comfort Systems USA Inc,0.07
UBNT,Ubiquiti Networks Inc,0.07
CAL,CALERES INC,0.07
COLM,Columbia Sportswear Co,0.07
SCAI,Surgical Care Affiliates Inc,0.07
IOSP,Innospec Inc,0.07
CORE,Core-Mark Holding Co Inc,0.07
NTRI,Nutrisystem Inc,0.07
HALO,Halozyme Therapeutics Inc,0.07
ENV,Envestnet Inc,0.07
WDR,Waddell & Reed Financial Inc,0.07
ARI,Apollo Commercial Real Estate Finance Inc,0.07
EXLS,ExlService Holdings Inc,0.07
ROG,Rogers Corp,0.07
FCB,FCB Financial Holdings Inc,0.07
SRCI,SRC ENERGY INC,0.07
MXL,MaxLinear Inc,0.07
PRGS,Progress Software Corp,0.07
AIRM,Air Methods Corp,0.07
AAON,AAON Inc,0.07
MTSI,M/A-COM Technology Solutions Holdings Inc,0.07
PRAH,PRA Health Sciences Inc,0.07
INFN,Infinera Corp,0.07
REXR,Rexford Industrial Realty Inc,0.07
TVPT,Travelport Worldwide Ltd,0.07
RMBS,Rambus Inc,0.07
CDE,Coeur Mining Inc,0.07
PRK,Park National Corp,0.07
BNCN,BNC Bancorp,0.07
NPO,EnPro Industries Inc,0.07
AJRD,Aerojet Rocketdyne Holdings Inc,0.06
KRNY,Kearny Financial Corp/MD,0.06
EGOV,NIC Inc,0.06
AAWW,Atlas Air Worldwide Holdings Inc,0.06
CUB,Cubic Corp,0.06
SUPN,Supernus Pharmaceuticals Inc,0.06
PEGI,Pattern Energy Group Inc,0.06
FGEN,FibroGen Inc,0.06
SAM,Boston Beer Co Inc,0.06
MMSI,Merit Medical Systems Inc,0.06
WSFS,WSFS Financial Corp,0.06
KAMN,Kaman Corp,0.06
MYGN,Myriad Genetics Inc,0.06
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.06
PRLB,Proto Labs Inc,0.06
BLDR,Builders FirstSource Inc,0.06
ROCK,Gibraltar Industries Inc,0.06
CSFL,CenterState Banks Inc,0.06
AIN,Albany International Corp,0.06
EGHT,8x8 Inc,0.06
TNET,TriNet Group Inc,0.06
CSGS,CSG Systems International Inc,0.06
XXIA,Ixia,0.06
TRNO,Terreno Realty Corp,0.06
MDC,MDC Holdings Inc,0.06
OSIS,OSI Systems Inc,0.06
NP,Neenah Paper Inc,0.06
SHEN,Shenandoah Telecommunications Co,0.06
RWT,Redwood Trust Inc,0.06
ABG,Asbury Automotive Group Inc,0.06
ABY,ATLANTICA YIELD PLC,0.06
TBPH,THERAVANCE BIOPHARMA INC,0.06
TNC,Tennant Co,0.06
RDUS,Radius Health Inc,0.06
AMWD,American Woodmark Corp,0.06
BABY,Natus Medical Inc,0.06
SWM,Schweitzer-Mauduit International Inc,0.06
MBI,MBIA Inc,0.06
EIG,Employers Holdings Inc,0.06
SEAS,SeaWorld Entertainment Inc,0.06
SXI,Standex International Corp,0.06
CALD,Callidus Software Inc,0.06
BSFT,BroadSoft Inc,0.06
NAVG,Navigators Group Inc,0.06
WERN,Werner Enterprises Inc,0.06
TILE,Interface Inc,0.06
ITGR,INTEGER HOLDINGS CORP,0.06
SCHL,Scholastic Corp,0.06
FSP,Franklin Street Properties Corp,0.06
AMSF,AMERISAFE Inc,0.06
SPNC,Spectranetics Corp,0.06
PBYI,Puma Biotechnology Inc,0.06
ACOR,Acorda Therapeutics Inc,0.06
TMP,Tompkins Financial Corp,0.06
INGN,Inogen Inc,0.06
GCO,Genesco Inc,0.06
CALM,Cal-Maine Foods Inc,0.06
VG,Vonage Holdings Corp,0.06
TGI,Triumph Group Inc,0.06
FCF,First Commonwealth Financial Corp,0.06
ASTE,Astec Industries Inc,0.06
BOBE,Bob Evans Farms Inc/DE,0.06
HMHC,Houghton Mifflin Harcourt Co,0.06
IMPV,Imperva Inc,0.06
TPC,Tutor Perini Corp,0.06
CYS,CYS Investments Inc,0.06
SPTN,SpartanNash Co,0.06
TASR,TASER International Inc,0.06
NGHC,National General Holdings Corp,0.06
BMCH,BMC STOCK HOLDINGS INC,0.06
FET,Forum Energy Technologies Inc,0.06
STBA,S&T Bancorp Inc,0.06
ADC,Agree Realty Corp,0.06
CNSL,Consolidated Communications Holdings Inc,0.06
W,Wayfair Inc,0.06
HTLF,Heartland Financial USA Inc,0.06
VECO,Veeco Instruments Inc,0.06
CNMD,CONMED Corp,0.06
TTMI,TTM Technologies Inc,0.06
LQ,La Quinta Holdings Inc,0.06
HSNI,HSN Inc,0.06
FLOW,Flow International Corp,0.06
BHLB,Berkshire Hills Bancorp Inc,0.06
FOE,Ferro Corp,0.06
WD,Walker & Dunlop Inc,0.06
PENN,Penn National Gaming Inc,0.06
BNCL,Beneficial Bancorp Inc,0.06
PMT,PennyMac Mortgage Investment Trust,0.06
RPT,Ramco-Gershenson Properties Trust,0.06
GIMO,Gigamon Inc,0.05
GBX,Greenbrier Cos Inc,0.05
SAIA,Saia Inc,0.05
AYR,Aircastle Ltd,0.05
TBI,TrueBlue Inc,0.05
SRG,SERITAGE GROWTH PROPERTIES CLA,0.05
SYKE,Sykes Enterprises Inc,0.05
ONCE,Spark Therapeutics Inc,0.05
RGEN,Repligen Corp,0.05
NCI,Navigant Consulting Inc,0.05
AIR,AAR Corp,0.05
ALDR,Alder Biopharmaceuticals Inc,0.05
FPRX,Five Prime Therapeutics Inc,0.05
UNT,Unit Corp,0.05
KNL,Knoll Inc,0.05
SGMS,Scientific Games Corp,0.05
BCC,Boise Cascade Co,0.05
HF,HFF Inc,0.05
RAVN,Raven Industries Inc,0.05
AMKR,Amkor Technology Inc,0.05
WIN,WINDSTREAM HOLDINGS INC,0.05
WSTC,West Corp,0.05
EVTC,EVERTEC Inc,0.05
ABAX,Abaxis Inc,0.05
CBF,Capital Bank Financial Corp,0.05
TERP,TerraForm Power Inc,0.05
AOBC,AMERICAN OUTDOOR BRANDS CORP,0.05
CPK,Chesapeake Utilities Corp,0.05
NYLD,NRG Yield Inc,0.05
CYH,Community Health Systems Inc,0.05
PPBI,Pacific Premier Bancorp Inc,0.05
SONC,Sonic Corp,0.05
SGYP,Synergy Pharmaceuticals Inc,0.05
GTLS,Chart Industries Inc,0.05
GIII,G-III Apparel Group Ltd,0.05
SEB,Seaboard Corp,0.05
ETSY,Etsy Inc,0.05
SNCR,Synchronoss Technologies Inc,0.05
LKFN,Lakeland Financial Corp,0.05
TROX,Tronox Ltd,0.05
SCSS,Select Comfort Corp,0.05
ADTN,ADTRAN Inc,0.05
WETF,WisdomTree Investments Inc,0.05
MYCC,ClubCorp Holdings Inc,0.05
BRKL,Brookline Bancorp Inc,0.05
GOV,Government Properties Income Trust,0.05
IPCC,Infinity Property & Casualty Corp,0.05
ANDE,Andersons Inc,0.05
PEI,Pennsylvania Real Estate Investment Trust,0.05
ECOL,US Ecology Inc,0.05
TRTN,TRITON INTERNATIONAL LTD,0.05
SPXC,SPX Corp,0.05
HLX,Helix Energy Solutions Group Inc,0.05
CKH,SEACOR Holdings Inc,0.05
MHLD,Maiden Holdings Ltd,0.05
FOLD,Amicus Therapeutics Inc,0.05
IPHS,Innophos Holdings Inc,0.05
ELY,Callaway Golf Co,0.05
BANC,Banc of California Inc,0.05
STC,Stewart Information Services Corp,0.05
SMP,Standard Motor Products Inc,0.05
INVN,InvenSense Inc,0.05
FCH,FelCor Lodging Trust Inc,0.05
TXMD,TherapeuticsMD Inc,0.05
PATK,Patrick Industries Inc,0.05
BEL,Belmond Ltd,0.05
SCSC,ScanSource Inc,0.05
IBP,Installed Building Products Inc,0.05
BPMC,Blueprint Medicines Corp,0.05
EBS,Emergent BioSolutions Inc,0.05
CTRE,CareTrust REIT Inc,0.05
BMI,Badger Meter Inc,0.05
INVA,INNOVIVA INC,0.05
PJC,Piper Jaffray Cos,0.05
AIMC,Altra Industrial Motion Corp,0.05
HAFC,Hanmi Financial Corp,0.05
SASR,Sandy Spring Bancorp Inc,0.05
LABL,Multi-Color Corp,0.05
RGR,Sturm Ruger & Co Inc,0.05
RMAX,RE/MAX Holdings Inc,0.05
USCR,US Concrete Inc,0.05
NSA,National Storage Affiliates Trust,0.05
INSM,Insmed Inc,0.05
LTRPA,Liberty TripAdvisor Holdings Inc,0.05
SMCI,Super Micro Computer Inc,0.05
CMO,Capstead Mortgage Corp,0.05
HSC,Harsco Corp,0.05
EPAY,Bottomline Technologies de Inc,0.05
DIN,DineEquity Inc,0.05
DEPO,Depomed Inc,0.05
PNK,Pinnacle Entertainment Inc,0.05
CVCO,Cavco Industries Inc,0.05
CFNL,Cardinal Financial Corp,0.05
TRS,TriMas Corp,0.05
GCI,Gannett Co Inc,0.05
OCLR,Oclaro Inc,0.05
ISCA,International Speedway Corp,0.05
PRIM,Primoris Services Corp,0.05
SSYS,Stratasys Ltd,0.05
UFCS,United Fire Group Inc,0.05
CHCO,City Holding Co,0.05
CIR,CIRCOR International Inc,0.05
CLW,Clearwater Paper Corp,0.04
BJRI,BJ's Restaurants Inc,0.04
VRTU,Virtusa Corp,0.04
SYBT,Stock Yards Bancorp Inc,0.04
QTWO,Q2 Holdings Inc,0.04
COKE,Coca-Cola Bottling Co Consolidated,0.04
CPLA,Capella Education Co,0.04
SBSI,Southside Bancshares Inc,0.04
MNTA,Momenta Pharmaceuticals Inc,0.04
XNCR,Xencor Inc,0.04
EBSB,Meridian Bancorp Inc,0.04
TVTY,TIVITY HEALTH INC,0.04
USPH,US Physical Therapy Inc,0.04
CUBI,Customers Bancorp Inc,0.04
DERM,Dermira Inc,0.04
NNI,Nelnet Inc,0.04
WEB,Web.com Group Inc,0.04
FIZZ,National Beverage Corp,0.04
PFGC,PERFORMANCE FOOD GROUP,0.04
MDXG,MiMedx Group Inc,0.04
