IJS,5.6199997E9
GPRE,Green Plains Inc,0.24
GBCI,Glacier Bancorp Inc,0.24
AWR,American States Water Co,0.24
BGC,General Cable Corp,0.24
CRZO,Carrizo Oil & Gas Inc,0.24
MGLN,Magellan Health Inc,0.24
SMTC,Semtech Corp,0.24
CRAY,Cray Inc,0.24
MSTR,MicroStrategy Inc,0.24
FMBI,First Midwest Bancorp Inc/IL,0.23
SHOO,Steven Madden Ltd,0.23
ASIX,ADVANSIX INC,0.23
ANF,Abercrombie & Fitch Co,0.23
FNGN,Financial Engines Inc,0.23
AIT,Applied Industrial Technologies Inc,0.23
NEWM,New Media Investment Group Inc,0.22
AEGN,Aegion Corp,0.22
IOSP,Innospec Inc,0.22
PSB,PS Business Parks Inc,0.22
WTS,Watts Water Technologies Inc,0.22
TMST,TimkenSteel Corp,0.22
SFNC,Simmons First National Corp,0.22
NTGR,NETGEAR Inc,0.22
UFCS,United Fire Group Inc,0.22
GES,Guess? Inc,0.22
LHCG,LHC Group Inc,0.22
ROIC,Retail Opportunity Investments Corp,0.21
MEI,Methode Electronics Inc,0.21
MINI,Mobile Mini Inc,0.21
FELE,Franklin Electric Co Inc,0.21
TISI,Team Inc,0.21
EXPR,Express Inc,0.21
PFS,Provident Financial Services Inc,0.21
GDOT,Green Dot Corp,0.2
IRDM,Iridium Communications Inc,0.2
BRKS,Brooks Automation Inc,0.2
NPO,EnPro Industries Inc,0.2
SWC,Stillwater Mining Co,0.2
VRTS,Virtus Investment Partners Inc,0.2
BABY,Natus Medical Inc,0.2
CCC,Calgon Carbon Corp,0.2
BJRI,BJ's Restaurants Inc,0.2
KND,Kindred Healthcare Inc,0.2
QSII,Quality Systems Inc,0.2
NWBI,Northwest Bancshares Inc,0.2
PMC,PharMerica Corp,0.2
KLIC,KULICKE AND SOFFA INDUSTRIES INC,0.2
ATW,Atwood Oceanics Inc,0.2
ASNA,Ascena Retail Group Inc,0.2
UNT,Unit Corp,0.2
APOG,Apogee Enterprises Inc,0.19
RRGB,Red Robin Gourmet Burgers Inc,0.19
IPXL,Impax Laboratories Inc,0.19
NBTB,NBT Bancorp Inc,0.19
HMST,HomeStreet Inc,0.19
FINL,Finish Line Inc,0.19
MTRN,Materion Corp,0.19
VAC,Marriott Vacations Worldwide Corp,0.19
DPLO,Diplomat Pharmacy Inc,0.19
MATW,Matthews International Corp,0.19
ARCB,ArcBest Corp,0.19
LKSD,LSC COMMUNICATIONS INC,0.18
PRFT,Perficient Inc,0.18
LCI,Lannett Co Inc,0.18
KELYA,Kelly Services Inc,0.18
ECPG,Encore Capital Group Inc,0.18
CENX,Century Aluminum Co,0.18
FFBC,First Financial Bancorp,0.18
INDB,Independent Bank Corp/Rockland MA,0.18
MHO,M/I Homes Inc,0.18
BCOR,Blucora Inc,0.17
NR,Newpark Resources Inc,0.17
LTC,LTC Properties Inc,0.17
SUP,Superior Industries International Inc,0.17
FSP,Franklin Street Properties Corp,0.17
SXC,SunCoke Energy Inc,0.17
PEI,Pennsylvania Real Estate Investment Trust,0.17
ECHO,Echo Global Logistics Inc,0.17
VRTV,Veritiv Corp,0.17
VECO,Veeco Instruments Inc,0.17
BPFH,Boston Private Financial Holdings Inc,0.17
FRGI,Fiesta Restaurant Group Inc,0.17
WDFC,WD-40 Co,0.17
HLX,Helix Energy Solutions Group Inc,0.17
INTL,INTL. FCStone Inc,0.17
RYAM,Rayonier Advanced Materials Inc,0.17
AMWD,American Woodmark Corp,0.16
CATO,Cato Corp,0.16
WABC,Westamerica Bancorporation,0.16
SCL,Stepan Co,0.16
PRSC,Providence Service Corp,0.16
BOBE,Bob Evans Farms Inc/DE,0.16
EBS,Emergent BioSolutions Inc,0.16
AJRD,Aerojet Rocketdyne Holdings Inc,0.16
AFAM,Almost Family Inc,0.16
HZO,MarineMax Inc,0.16
ESND,Essendant Inc,0.16
SAH,Sonic Automotive Inc,0.16
SHLM,A Schulman Inc,0.16
ANGO,AngioDynamics Inc,0.15
AZZ,AZZ Inc,0.15
GTLS,Chart Industries Inc,0.15
SCAI,Surgical Care Affiliates Inc,0.15
EXLS,ExlService Holdings Inc,0.15
BRC,Brady Corp,0.15
EGL,Engility Holdings Inc,0.15
BKE,Buckle Inc,0.15
DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,0.15
AMSF,AMERISAFE Inc,0.15
ALOG,Analogic Corp,0.15
MPAA,Motorcar Parts of America Inc,0.15
EXPO,Exponent Inc,0.15
OFG,OFG Bancorp,0.15
AIN,Albany International Corp,0.14
FRED,Fred's Inc,0.14
GNCMA,General Communication Inc,0.14
CBM,Cambrex Corp,0.14
HSC,Harsco Corp,0.14
LL,Lumber Liquidators Holdings Inc,0.14
RECN,Resources Connection Inc,0.14
DXPE,DXP Enterprises Inc,0.14
RCII,Rent-A-Center Inc/TX,0.14
AROC,ARCHROCK INC,0.14
FWRD,Forward Air Corp,0.14
SAIA,Saia Inc,0.14
TTEC,TeleTech Holdings Inc,0.14
SCSS,Select Comfort Corp,0.14
CROX,Crocs Inc,0.14
ITG,Investment Technology Group Inc,0.14
TYPE,Monotype Imaging Holdings Inc,0.14
NPK,National Presto Industries Inc,0.13
DIN,DineEquity Inc,0.13
RAVN,Raven Industries Inc,0.13
ABAX,Abaxis Inc,0.13
CSGS,CSG Systems International Inc,0.13
CHCO,City Holding Co,0.13
GHL,Greenhill & Co Inc,0.13
TWI,Titan International Inc,0.13
INGN,Inogen Inc,0.13
COKE,Coca-Cola Bottling Co Consolidated,0.13
TNC,Tennant Co,0.13
SMCI,Super Micro Computer Inc,0.13
TVTY,TIVITY HEALTH INC,0.13
ELY,Callaway Golf Co,0.13
ACET,Aceto Corp,0.13
ROG,Rogers Corp,0.13
NP,Neenah Paper Inc,0.13
VSI,Vitamin Shoppe Inc,0.13
TG,Tredegar Corp,0.13
HAYN,Haynes International Inc,0.13
BKS,Barnes & Noble Inc,0.13
LION,Fidelity Southern Corp,0.13
HSII,Heidrick & Struggles International Inc,0.13
CIR,CIRCOR International Inc,0.13
HVT,Haverty Furniture Cos Inc,0.12
BRS,Bristow Group Inc,0.12
SPPI,Spectrum Pharmaceuticals Inc,0.12
DEPO,Depomed Inc,0.12
COHU,Cohu Inc,0.12
FCF,First Commonwealth Financial Corp,0.12
EPAY,Bottomline Technologies de Inc,0.12
HLIT,Harmonic Inc,0.12
CNSL,Consolidated Communications Holdings Inc,0.12
OXM,Oxford Industries Inc,0.12
LNN,Lindsay Corp,0.12
SONC,Sonic Corp,0.12
OFIX,Orthofix International NV,0.12
RGS,Regis Corp,0.12
PLUS,ePlus Inc,0.12
UFI,Unifi Inc,0.12
MTRX,Matrix Service Co,0.12
STRA,Strayer Education Inc,0.12
ENSG,Ensign Group Inc,0.12
PKY,Parkway Properties Inc/Md,0.11
BRKL,Brookline Bancorp Inc,0.11
AVD,American Vanguard Corp,0.11
EZPW,Ezcorp Inc,0.11
CDR,Cedar Realty Trust Inc,0.11
ATNI,Atlantic Tele-Network Inc,0.11
ADTN,ADTRAN Inc,0.11
TLRD,TAILORED BRANDS INC,0.11
DAKT,Daktronics Inc,0.11
BNED,Barnes & Noble Education Inc,0.1
IVC,Invacare Corp,0.1
SPOK,Spok Holdings Inc,0.1
PKE,Park Electrochemical Corp,0.1
FTK,Flotek Industries Inc,0.1
OPB,Opus Bank,0.1
ETH,Ethan Allen Interiors Inc,0.1
MOV,Movado Group Inc,0.1
HF,HFF Inc,0.1
SCVL,Shoe Carnival Inc,0.1
CAMP,CalAmp Corp,0.1
APEI,American Public Education Inc,0.1
HCI,HCI Group Inc,0.09
CMTL,Comtech Telecommunications Corp,0.09
FOR,Forestar Group Inc,0.09
CBB,Cincinnati Bell Inc,0.09
UTEK,Ultratech Inc,0.09
DEL,Deltic Timber Corp,0.09
ENVA,Enova International Inc,0.09
IPAR,Inter Parfums Inc,0.09
LABL,Multi-Color Corp,0.09
DGII,Digi International Inc,0.09
TRST,TrustCo Bank Corp NY,0.09
KOP,Koppers Holdings Inc,0.09
USCR,US Concrete Inc,0.09
HTLD,Heartland Express Inc,0.09
MCRI,Monarch Casino & Resort Inc,0.09
ORIT,Oritani Financial Corp,0.09
MYE,Myers Industries Inc,0.09
AMRI,Albany Molecular Research Inc,0.09
FF,FutureFuel Corp,0.08
UIHC,United Insurance Holdings Corp,0.08
RUTH,Ruth's Hospitality Group Inc,0.08
WRLD,World Acceptance Corp,0.08
PAHC,Phibro Animal Health Corp,0.08
FTD,FTD Cos Inc,0.08
VIVO,Meridian Bioscience Inc,0.08
HIBB,Hibbett Sports Inc,0.08
CLD,Cloud Peak Energy Inc,0.08
IPHS,Innophos Holdings Inc,0.08
TTI,TETRA Technologies Inc,0.08
AVAV,Aerovironment Inc,0.08
POWL,Powell Industries Inc,0.08
PERY,Perry Ellis International Inc,0.08
DCOM,Dime Community Bancshares Inc,0.08
CPSI,Computer Programs & Systems Inc,0.08
ALG,Alamo Group Inc,0.08
MRTN,Marten Transport Ltd,0.08
FARO,FARO Technologies Inc,0.08
BGFV,Big 5 Sporting Goods Corp,0.08
MLI,Mueller Industries Inc,0.07
WLH,William Lyon Homes,0.07
ICON,Iconix Brand Group Inc,0.07
CRR,CARBO Ceramics Inc,0.07
DSPG,DSP Group Inc,0.07
LMOS,Lumos Networks Corp,0.07
TESO,Tesco Corp,0.07
ERA,Era Group Inc,0.07
BFS,Saul Centers Inc,0.06
CRVL,CorVel Corp,0.06
CGI,Celadon Group Inc,0.06
ESIO,Electro Scientific Industries Inc,0.06
SENEA,Seneca Foods Corp,0.06
VDSI,VASCO Data Security International Inc,0.06
QHC,QUORUM HEALTH CORP,0.06
CECO,Career Education Corp,0.06
MED,Medifast Inc,0.06
RRTS,Roadrunner Transportation Systems Inc,0.06
ANIK,Anika Therapeutics Inc,0.06
REX,REX American Resources Corp,0.05
XOXO,XO Group Inc,0.05
LPSN,LivePerson Inc,0.05
PES,Pioneer Energy Services Corp,0.05
LXU,LSB Industries Inc,0.05
LQDT,Liquidity Services Inc,0.05
EHTH,eHealth Inc,0.05
ZEUS,Olympic Steel Inc,0.05
HWKN,Hawkins Inc,0.05
VRA,Vera Bradley Inc,0.05
KIRK,Kirkland's Inc,0.05
BKMU,Bank Mutual Corp,0.05
BBG,Bill Barrett Corp,0.05
BH,Biglari Holdings Inc,0.05
EXAR,Exar Corp,0.04
NLS,Nautilus Inc,0.04
SHAK,Shake Shack Inc,0.04
AMPH,Amphastar Pharmaceuticals Inc,0.04
TUES,Tuesday Morning Corp,0.04
PETS,PetMed Express Inc,0.04
DHX,DHI Group Inc,0.04
RT,Ruby Tuesday Inc,0.04
AGYS,Agilysys Inc,0.04
GIFI,Gulf Island Fabrication Inc,0.04
BBOX,Black Box Corp,0.03
QNST,QuinStreet Inc,0.03
KOPN,Kopin Corp,0.03
GEOS,Geospace Technologies Corp,0.03
BELFB,Bel Fuse Inc,0.02
CDI,CDI Corp,0.02
HOS,Hornbeck Offshore Services Inc,0.02
MCF,Contango Oil & Gas Co,0.02
UHT,Universal Health Realty Income Trust,0.02
LOCO,El Pollo Loco Holdings Inc,0.02
SMRT,Stein Mart Inc,0.02
NOG,Northern Oil and Gas Inc,0.02
FNBC,First NBC Bank Holding Co,0.02
HT,Hersha Hospitality Trust,0.01
TDW,Tidewater Inc,0.01
ADPT,Adeptus Health Inc,0.0
GRB,GERBER SCIENTIFIC ESCROW,0.0
