IJT,5.1500001E9
LMNX,Luminex Corp,0.17
USCR,US Concrete Inc,0.17
SONC,Sonic Corp,0.17
SAIA,Saia Inc,0.17
MYRG,MYR Group Inc,0.17
GTY,Getty Realty Corp,0.17
AMWD,American Woodmark Corp,0.16
EGRX,Eagle Pharmaceuticals Inc/DE,0.16
ADTN,ADTRAN Inc,0.16
FSP,Franklin Street Properties Corp,0.16
ABAX,Abaxis Inc,0.16
RAVN,Raven Industries Inc,0.16
LABL,Multi-Color Corp,0.16
BOBE,Bob Evans Farms Inc/DE,0.16
FRAN,Francesca's Holdings Corp,0.16
IIIN,Insteel Industries Inc,0.16
TTS,Tile Shop Holdings Inc,0.16
SCSS,Select Comfort Corp,0.16
MINI,Mobile Mini Inc,0.15
MCS,Marcus Corp,0.15
VECO,Veeco Instruments Inc,0.15
HSTM,HealthStream Inc,0.15
ELY,Callaway Golf Co,0.15
DEPO,Depomed Inc,0.14
BABY,Natus Medical Inc,0.14
HTLD,Heartland Express Inc,0.14
KOP,Koppers Holdings Inc,0.14
UBA,Urstadt Biddle Properties Inc,0.14
LGIH,LGI Homes Inc,0.14
GTLS,Chart Industries Inc,0.13
CHCO,City Holding Co,0.13
BFS,Saul Centers Inc,0.13
PGTI,PGT Inc,0.13
SCLN,SciClone Pharmaceuticals Inc,0.12
CIR,CIRCOR International Inc,0.12
EBS,Emergent BioSolutions Inc,0.12
SMCI,Super Micro Computer Inc,0.12
LDR,Landauer Inc,0.12
DEL,Deltic Timber Corp,0.12
CCRN,Cross Country Healthcare Inc,0.12
CHUY,Chuy's Holdings Inc,0.12
HSC,Harsco Corp,0.12
DIN,DineEquity Inc,0.12
TVTY,TIVITY HEALTH INC,0.12
CBB,Cincinnati Bell Inc,0.11
EPAY,Bottomline Technologies de Inc,0.11
PLUS,ePlus Inc,0.11
ENSG,Ensign Group Inc,0.11
ALG,Alamo Group Inc,0.11
CRY,CryoLife Inc,0.11
LNN,Lindsay Corp,0.11
UNT,Unit Corp,0.11
PEI,Pennsylvania Real Estate Investment Trust,0.11
ETH,Ethan Allen Interiors Inc,0.11
ANIK,Anika Therapeutics Inc,0.11
PKY,Parkway Properties Inc/Md,0.11
STRA,Strayer Education Inc,0.11
HLX,Helix Energy Solutions Group Inc,0.11
TRST,TrustCo Bank Corp NY,0.11
UHT,Universal Health Realty Income Trust,0.1
COKE,Coca-Cola Bottling Co Consolidated,0.1
SHLM,A Schulman Inc,0.1
ALOG,Analogic Corp,0.1
ENTA,Enanta Pharmaceuticals Inc,0.1
SHAK,Shake Shack Inc,0.1
ATNI,Atlantic Tele-Network Inc,0.1
FORR,Forrester Research Inc,0.1
OXM,Oxford Industries Inc,0.09
ANIP,ANI Pharmaceuticals Inc,0.09
GHL,Greenhill & Co Inc,0.09
AROC,ARCHROCK INC,0.09
HIBB,Hibbett Sports Inc,0.09
DCOM,Dime Community Bancshares Inc,0.09
NLS,Nautilus Inc,0.09
UTEK,Ultratech Inc,0.09
CENT,Central Garden & Pet Co,0.09
TLRD,TAILORED BRANDS INC,0.08
TYPE,Monotype Imaging Holdings Inc,0.08
AMPH,Amphastar Pharmaceuticals Inc,0.08
ORIT,Oritani Financial Corp,0.08
SRDX,SurModics Inc,0.08
CECO,Career Education Corp,0.08
FARO,FARO Technologies Inc,0.08
ZUMZ,Zumiez Inc,0.08
IPAR,Inter Parfums Inc,0.07
HWKN,Hawkins Inc,0.07
EXAR,Exar Corp,0.07
MRTN,Marten Transport Ltd,0.07
RUTH,Ruth's Hospitality Group Inc,0.07
OFIX,Orthofix International NV,0.07
MED,Medifast Inc,0.07
AVAV,Aerovironment Inc,0.07
PETS,PetMed Express Inc,0.06
FTK,Flotek Industries Inc,0.06
SCMP,Sucampo Pharmaceuticals Inc,0.06
VIVO,Meridian Bioscience Inc,0.06
CAMP,CalAmp Corp,0.06
VICR,Vicor Corp,0.06
BH,Biglari Holdings Inc,0.06
REX,REX American Resources Corp,0.06
BKMU,Bank Mutual Corp,0.06
WLH,William Lyon Homes,0.05
XOXO,XO Group Inc,0.05
PAHC,Phibro Animal Health Corp,0.05
ORN,Orion Marine Group Inc,0.05
LPSN,LivePerson Inc,0.04
BBG,Bill Barrett Corp,0.04
ICON,Iconix Brand Group Inc,0.04
VDSI,VASCO Data Security International Inc,0.04
CRVL,CorVel Corp,0.04
LMOS,Lumos Networks Corp,0.04
LOCO,El Pollo Loco Holdings Inc,0.03
PES,Pioneer Energy Services Corp,0.03
TTI,TETRA Technologies Inc,0.03
TESO,Tesco Corp,0.03
BELFB,Bel Fuse Inc,0.03
DHX,DHI Group Inc,0.02
GEOS,Geospace Technologies Corp,0.02
KOPN,Kopin Corp,0.02
HT,Hersha Hospitality Trust,0.01
MCF,Contango Oil & Gas Co,0.01
NOG,Northern Oil and Gas Inc,0.01
