FVD,4.3899996E9
PRK,Park National Corp,0.53
PX,Praxair Inc,0.53
RAI,Reynolds American Inc,0.53
RHI,Robert Half International Inc,0.53
SON,Sonoco Products Co,0.53
SJI,South Jersey Industries Inc,0.53
TROW,T Rowe Price Group Inc,0.53
THG,Hanover Insurance Group Inc,0.53
HSY,Hershey Co,0.53
PG,Procter & Gamble Co,0.53
TRV,Travelers Cos Inc,0.53
UPS,United Parcel Service Inc,0.53
UTX,United Technologies Corp,0.53
VZ,Verizon Communications Inc,0.53
WM,Waste Management Inc,0.53
WFC,Wells Fargo & Co,0.53
WGL,WGL Holdings Inc,0.53
AWR,American States Water Co,0.52
BUD,Anheuser-Busch InBev NV,0.52
BOH,Bank of Hawaii Corp,0.52
BMO,Bank of Montreal,0.52
BBT,BB&T Corp,0.52
BLK,BlackRock Inc,0.52
BTI,British American Tobacco PLC,0.52
CHRW,CH Robinson Worldwide Inc,0.52
CM,Canadian Imperial Bank of Commerce/Canada,0.52
DEO,Diageo PLC,0.52
DOV,Dover Corp,0.52
ENB,Enbridge Inc,0.52
FNF,FNF Group,0.52
HUBB,Hubbell Incorporated,0.52
MRK,Merck & Co Inc,0.52
NWN,Northwest Natural Gas Co,0.52
NVS,Novartis AG,0.52
OMC,Omnicom Group Inc,0.52
PSA,Public Storage,0.52
RDS.B,Royal Dutch Shell PLC,0.52
SLB,Schlumberger Ltd,0.52
SYY,Sysco Corp,0.52
TSM,Taiwan Semiconductor Manufacturing Co Ltd,0.52
SJM,JM Smucker Co,0.52
TRI,Thomson Reuters Corp,0.52
TM,Toyota Motor Corp,0.52
USB,US Bancorp,0.52
VR,Validus Holdings Ltd,0.52
WMT,Wal-Mart Stores Inc,0.52
APD,Air Products & Chemicals Inc,0.51
CFFN,Capitol Federal Financial Inc,0.51
CVX,Chevron Corp,0.51
CFR,Cullen/Frost Bankers Inc,0.51
EMR,Emerson Electric Co,0.51
FTS,Fortis Inc.,0.51
GE,General Electric Co,0.51
GPC,Genuine Parts Co,0.51
INTC,Intel Corp,0.51
IBM,International Business Machines Corp,0.51
NLSN,Nielsen NV,0.51
NWBI,Northwest Bancshares Inc,0.51
OTTR,Otter Tail Corp,0.51
PBCT,People's United Financial Inc,0.51
O,Realty Income Corp,0.51
RY,Royal Bank of Canada,0.51
TU,TELUS Corp,0.51
KHC,Kraft Heinz Co,0.51
TRP,TransCanada Corp,0.51
UNP,Union Pacific Corp,0.51
WSO,Watsco Inc,0.51
WMK,Weis Markets Inc,0.51
CAT,Caterpillar Inc,0.5
KSS,Kohl's Corp,0.5
NVO,Novo Nordisk A/S,0.5
SJR,Shaw Communications Inc,0.5
BNS,Bank of Nova Scotia,0.5
TOT,TOTAL SA,0.5
FRT,Federal Realty Investment Trust,0.49
TEVA,Teva Pharmaceutical Industries Ltd,0.49
TD,Toronto-Dominion Bank,0.49
SPG,Simon Property Group Inc,0.48
WPPGY,WPP Plc (ADR),0.47
TGT,Target Corp,0.43
