IWC,9.2128998E8
TSC,TriState Capital Holdings Inc,0.15
MBWM,Mercantile Bank Corp,0.15
UBA,Urstadt Biddle Properties Inc,0.15
DHIL,Diamond Hill Investment Group Inc,0.15
AGM,Federal Agricultural Mortgage Corp,0.15
FLXN,Flexion Therapeutics Inc,0.15
WSBF,Waterstone Financial Inc,0.15
AFAM,Almost Family Inc,0.15
NLS,Nautilus Inc,0.15
GNCMA,General Communication Inc,0.15
CECO,Career Education Corp,0.15
GNMK,GenMark Diagnostics Inc,0.15
PCBK,Pacific Continental Corp,0.15
CSWI,CSW INDUSTRIALS INC,0.15
MOD,Modine Manufacturing Co,0.15
FRED,Fred's Inc,0.14
TGTX,TG Therapeutics Inc,0.14
TDOC,TELADOC INC,0.14
CRY,CryoLife Inc,0.14
KEM,Kemet Corp,0.14
OKSB,Southwest Bancorp Inc,0.14
AHT,Ashford Hospitality Trust Inc,0.14
SCNB,Suffolk Bancorp,0.14
OFG,OFG Bancorp,0.14
FISI,Financial Institutions Inc,0.14
FDEF,First Defiance Financial Corp,0.14
MPAA,Motorcar Parts of America Inc,0.14
TAST,Carrols Restaurant Group Inc,0.14
IRT,INDEPENDENCE REALTY TRUST REIT INC,0.14
ANGO,AngioDynamics Inc,0.14
SRI,Stoneridge Inc,0.14
THFF,First Financial Corp/IN,0.14
CWST,Casella Waste Systems Inc,0.14
BHBK,Blue Hills Bancorp Inc,0.14
HWKN,Hawkins Inc,0.14
IBCP,Independent Bank Corp/MI,0.14
DXPE,DXP Enterprises Inc,0.14
LJPC,La Jolla Pharmaceutical Co,0.14
LDR,Landauer Inc,0.14
PGTI,PGT Inc,0.14
COHU,Cohu Inc,0.13
GOOD,Gladstone Commercial Corp,0.13
XCRA,Xcerra Corp,0.13
OMER,Omeros Corp,0.13
MED,Medifast Inc,0.13
NLNK,NewLink Genetics Corp,0.13
UCTT,Ultra Clean Holdings Inc,0.13
WHG,Westwood Holdings Group Inc,0.13
UCFC,United Community Financial Corp/OH,0.13
CHUY,Chuy's Holdings Inc,0.13
NCBS,NICOLET BANKSHARES INC,0.13
TWI,Titan International Inc,0.13
CYTK,Cytokinetics Inc,0.13
SPPI,Spectrum Pharmaceuticals Inc,0.13
PGC,Peapack Gladstone Financial Corp,0.13
LOB,Live Oak Bancshares Inc,0.13
LGIH,LGI Homes Inc,0.13
LION,Fidelity Southern Corp,0.13
ACTA,Actua Corp,0.13
BMRC,Bank of Marin Bancorp,0.13
BHB,Bar Harbor Bankshares,0.13
OCN,Ocwen Financial Corp,0.13
RECN,Resources Connection Inc,0.13
MITT,AG Mortgage Investment Trust Inc,0.13
HAYN,Haynes International Inc,0.13
FFWM,First Foundation Inc,0.13
AMPH,Amphastar Pharmaceuticals Inc,0.13
CMCO,Columbus McKinnon Corp/NY,0.13
SALT,Scorpio Bulkers Inc,0.13
YORW,York Water Co,0.13
ANH,Anworth Mortgage Asset Corp,0.13
SCLN,SciClone Pharmaceuticals Inc,0.13
LL,Lumber Liquidators Holdings Inc,0.13
ENTA,Enanta Pharmaceuticals Inc,0.13
MGI,MoneyGram International Inc,0.13
TBK,Triumph Bancorp Inc,0.13
HTBI,HomeTrust Bancshares Inc,0.13
FSB,Franklin Financial Network Inc,0.13
KE,Kimball Electronics Inc,0.12
DHT,DHT Holdings Inc,0.12
WIFI,Boingo Wireless Inc,0.12
NPK,National Presto Industries Inc,0.12
BKMU,Bank Mutual Corp,0.12
HSII,Heidrick & Struggles International Inc,0.12
REI,Ring Energy Inc,0.12
AROW,Arrow Financial Corp,0.12
ACLS,Axcelis Technologies Inc,0.12
GBNK,Guaranty Bancorp,0.12
AHH,Armada Hoffler Properties Inc,0.12
BRS,Bristow Group Inc,0.12
ABTX,ALLEGIANCE BANCSHARES INC,0.12
DFRG,Del Frisco's Restaurant Group Inc,0.12
INO,Inovio Pharmaceuticals Inc,0.12
ESPR,Esperion Therapeutics Inc,0.12
ARDX,Ardelyx Inc,0.12
CERS,Cerus Corp,0.12
CARO,Carolina Financial Corp,0.12
GLBL,TERRAFORM GLOBAL INC CLASS A,0.12
REX,REX American Resources Corp,0.12
OME,Omega Protein Corp,0.12
XOXO,XO Group Inc,0.12
FCBC,First Community Bancshares Inc/VA,0.12
FRBK,Republic First Bancorp Inc,0.12
SNC,State National Cos Inc,0.12
KTOS,Kratos Defense & Security Solutions Inc,0.12
CDR,Cedar Realty Trust Inc,0.12
TTI,TETRA Technologies Inc,0.12
HLIT,Harmonic Inc,0.12
EXAR,Exar Corp,0.12
FOR,Forestar Group Inc,0.12
ACET,Aceto Corp,0.12
LBIO,Lion Biotechnologies Inc,0.12
PUB,People's Utah Bancorp,0.12
HVT,Haverty Furniture Cos Inc,0.12
NXRT,NEXPOINT RESIDENTIAL TRUST INC TRU,0.12
EZPW,Ezcorp Inc,0.12
AFI,ARMSTRONG FLOORING INC,0.12
NEO,NeoGenomics Inc,0.11
HCKT,Hackett Group Inc,0.11
KEYW,KEYW Holding Corp,0.11
AVD,American Vanguard Corp,0.11
GTS,Triple-S Management Corp,0.11
PETS,PetMed Express Inc,0.11
UFI,Unifi Inc,0.11
MTRX,Matrix Service Co,0.11
CSBK,Clifton Bancorp Inc,0.11
MB,MINDBODY Inc,0.11
ASMB,Assembly Biosciences Inc,0.11
FMNB,Farmers National Banc Corp,0.11
EBF,Ennis Inc,0.11
BH,Biglari Holdings Inc,0.11
SHOR,ShoreTel Inc,0.11
CTT,CatchMark Timber Trust Inc,0.11
RGNX,REGENXBIO INC,0.11
MBUU,Malibu Boats Inc,0.11
REGI,Renewable Energy Group Inc,0.11
STAA,STAAR Surgical Co,0.11
CSV,Carriage Services Inc,0.11
LPSN,LivePerson Inc,0.11
HCI,HCI Group Inc,0.11
HTBK,Heritage Commerce Corp,0.11
FBNK,First Connecticut Bancorp Inc/Farmington CT,0.11
KMG,KMG Chemicals Inc,0.11
WTBA,West Bancorporation Inc,0.11
ATEN,A10 Networks Inc,0.11
ARNA,Arena Pharmaceuticals Inc,0.11
UMH,UMH Properties Inc,0.11
WMC,Western Asset Mortgage Capital Corp,0.11
CORR,CorEnergy Infrastructure Trust Inc,0.11
ARAY,Accuray Inc,0.11
XENT,Intersect ENT Inc,0.11
EVC,Entravision Communications Corp,0.1
CCS,Century Communities Inc,0.1
RVNC,Revance Therapeutics Inc,0.1
AMNB,American National Bankshares Inc,0.1
PACB,Pacific Biosciences of California Inc,0.1
ACBI,ATLANTIC CAPITAL BANCSHARES INC,0.1
SPOK,Spok Holdings Inc,0.1
CRBP,Corbus Pharmaceuticals Holdings Inc,0.1
MLAB,Mesa Laboratories Inc,0.1
BNED,Barnes & Noble Education Inc,0.1
OMN,OMNOVA Solutions Inc,0.1
MG,Mistras Group Inc,0.1
YRCW,YRC Worldwide Inc,0.1
BBSI,Barrett Business Services Inc,0.1
FORR,Forrester Research Inc,0.1
BZH,Beazer Homes USA Inc,0.1
WINS,WINS FINANCE HOLDINGS INC,0.1
ANIP,ANI Pharmaceuticals Inc,0.1
BSRR,Sierra Bancorp,0.1
ENVA,Enova International Inc,0.1
HOFT,Hooker Furniture Corp,0.1
HRTG,Heritage Insurance Holdings Inc,0.1
IVC,Invacare Corp,0.1
VBTX,Veritex Holdings Inc,0.1
ETM,Entercom Communications Corp,0.1
NCOM,National Commerce Corp,0.1
TESO,Tesco Corp,0.1
SCVL,Shoe Carnival Inc,0.1
INWK,InnerWorkings Inc,0.1
RBCAA,Republic Bancorp Inc/KY,0.1
COWN,Cowen Group Inc,0.1
GNBC,Green Bancorp Inc,0.1
NVEC,NVE Corp,0.1
LNDC,Landec Corp,0.1
CCNE,CNB Financial Corp/PA,0.1
PRMW,Primo Water Corp,0.1
CARB,Carbonite Inc,0.1
BV,Bazaarvoice Inc,0.1
MOFG,MidWestOne Financial Group Inc,0.1
HEOP,Heritage Oaks Bancorp,0.1
AMRI,Albany Molecular Research Inc,0.1
PTCT,PTC Therapeutics Inc,0.1
PKE,Park Electrochemical Corp,0.1
FRP,FairPoint Communications Inc,0.1
SNOW,Intrawest Resorts Holdings Inc,0.1
MBVT,Merchants Bancshares Inc/VT,0.1
VRNS,Varonis Systems Inc,0.1
TRNC,TRONC INC,0.09
LMAT,LeMaitre Vascular Inc,0.09
PBPB,Potbelly Corp,0.09
CFI,Culp Inc,0.09
OSBC,OLD SECOND BANCORP INC.,0.09
LMOS,Lumos Networks Corp,0.09
ACRS,ACLARIS THERAPEUTICS INC,0.09
MOV,Movado Group Inc,0.09
WK,Workiva Inc,0.09
WSR,Whitestone REIT,0.09
CIA,Citizens Inc/TX,0.09
RIGL,Rigel Pharmaceuticals Inc,0.09
NGS,Natural Gas Services Group Inc,0.09
CHFN,Charter Financial Corp/MD,0.09
ACRE,Ares Commercial Real Estate Corp,0.09
OXFD,Oxford Immunotec Global PLC,0.09
BSTC,BioSpecifics Technologies Corp,0.09
AKBA,Akebia Therapeutics Inc,0.09
DAKT,Daktronics Inc,0.09
TLGT,TELIGENT INC,0.09
CZNC,Citizens & Northern Corp,0.09
TBNK,Territorial Bancorp Inc,0.09
PES,Pioneer Energy Services Corp,0.09
APTS,Preferred Apartment Communities Inc,0.09
IXYS,IXYS Corp,0.09
FLXS,Flexsteel Industries Inc,0.09
CRAI,CRA International Inc,0.09
CARA,Cara Therapeutics Inc,0.09
WNEB,WESTERN NEW ENGLAND BANCORP INC,0.09
SRDX,SurModics Inc,0.09
MCRI,Monarch Casino & Resort Inc,0.09
EBTC,Enterprise Bancorp Inc/MA,0.09
STRP,Straight Path Communications Inc,0.09
CRIS,Curis Inc,0.09
FTD,FTD Cos Inc,0.09
CMTL,Comtech Telecommunications Corp,0.09
FF,FutureFuel Corp,0.09
FPI,Farmland Partners Inc,0.09
APEI,American Public Education Inc,0.09
CLDX,Celldex Therapeutics Inc,0.09
ASPS,Altisource Portfolio Solutions SA,0.09
AOSL,Alpha & Omega Semiconductor Ltd,0.09
CIO,City Office REIT Inc,0.09
ICON,Iconix Brand Group Inc,0.08
ADXS,Advaxis Inc,0.08
SALE,RetailMeNot Inc,0.08
OLBK,Old Line Bancshares Inc,0.08
FNLC,First Bancorp Inc/ME,0.08
DGII,Digi International Inc,0.08
SPNS,Sapiens International Corp NV,0.08
SNBC,Sun Bancorp Inc/NJ,0.08
CNXN,PC Connection Inc,0.08
PRTK,Paratek Pharmaceuticals Inc,0.08
GERN,Geron Corp,0.08
ZUMZ,Zumiez Inc,0.08
ZOES,Zoe's Kitchen Inc,0.08
FFKT,Farmers Capital Bank Corp,0.08
AT,Atlantic Power Corp,0.08
BLMT,BSB Bancorp Inc/MA,0.08
PFIS,Peoples Financial Services Corp,0.08
CTRL,Control4 Corp,0.08
SONS,Sonus Networks Inc,0.08
DX,Dynex Capital Inc,0.08
CHCT,Community Healthcare Trust Inc,0.08
HIFS,Hingham Institution for Savings,0.08
TRC,Tejon Ranch Co,0.08
MYE,Myers Industries Inc,0.08
MCBC,Macatawa Bank Corp,0.08
PICO,PICO Holdings Inc,0.08
NUTR,Nutraceutical International Corp,0.08
HONE,HARBORONE BANCORP INC,0.08
OLP,One Liberty Properties Inc,0.08
PKOH,Park-Ohio Holdings Corp,0.08
ARTNA,Artesian Resources Corp,0.08
GCAP,GAIN Capital Holdings Inc,0.08
AGEN,Agenus Inc,0.08
HBCP,Home Bancorp Inc,0.08
SGMO,Sangamo BioSciences Inc,0.08
OTIC,Otonomy Inc,0.08
CTRN,Citi Trends Inc,0.08
PERY,Perry Ellis International Inc,0.08
CECE,CECO Environmental Corp,0.08
DCO,Ducommun Inc,0.08
WINA,Winmark Corp,0.08
HZN,Horizon Global Corp,0.08
PHX,Panhandle Oil and Gas Inc,0.08
BFIN,BankFinancial Corp,0.08
ADMS,Adamas Pharmaceuticals Inc,0.08
LBY,Libbey Inc,0.08
WRLD,World Acceptance Corp,0.08
GPX,GP Strategies Corp,0.08
ENZ,Enzo Biochem Inc,0.08
CTMX,CYTOMX THERAPEUTICS INC,0.08
NSTG,NanoString Technologies Inc,0.08
ONVO,Organovo Holdings Inc,0.08
BLCM,Bellicum Pharmaceuticals Inc,0.08
NVEE,NV5 Holdings Inc,0.08
ATLO,Ames National Corp,0.08
CPSI,Computer Programs & Systems Inc,0.08
NC,NACCO Industries Inc,0.08
CALX,Calix Inc,0.08
DMRC,Digimarc Corp,0.08
UIHC,United Insurance Holdings Corp,0.08
ANCX,Access National Corp,0.08
NPTN,NeoPhotonics Corp,0.08
CACB,Cascade Bancorp,0.08
EQBK,EQUITY BANCSHARES INC CLASS A,0.08
DGAS,Delta Natural Gas Co Inc,0.08
NVTA,Invitae Corp,0.08
POWL,Powell Industries Inc,0.08
ERII,Energy Recovery Inc,0.07
AXGN,AxoGen Inc,0.07
TACO,Del Taco Restaurants Inc,0.07
TNAV,Telenav Inc,0.07
CRMT,America's Car-Mart Inc/TX,0.07
ZIXI,Zix Corp,0.07
CNCE,Concert Pharmaceuticals Inc,0.07
BBG,Bill Barrett Corp,0.07
MLR,Miller Industries Inc/TN,0.07
XBIT,XBiotech Inc,0.07
COLL,Collegium Pharmaceutical Inc,0.07
SONA,Southern National Bancorp of Virginia Inc,0.07
LMNR,Limoneira Co,0.07
SFE,Safeguard Scientifics Inc,0.07
HOV,Hovnanian Enterprises Inc,0.07
CHEF,Chefs' Warehouse Inc,0.07
RDI,Reading International Inc,0.07
SENEA,Seneca Foods Corp,0.07
BWFG,Bankwell Financial Group Inc,0.07
CDZI,Cadiz Inc,0.07
KPTI,Karyopharm Therapeutics Inc,0.07
CMRX,Chimerix Inc,0.07
MBRG,Middleburg Financial Corp,0.07
VICR,Vicor Corp,0.07
FBIZ,First Business Financial Services Inc,0.07
BGFV,Big 5 Sporting Goods Corp,0.07
MBTF,MBT Financial Corp,0.07
FLWS,1-800-Flowers.com Inc,0.07
FNWB,First Northwest Bancorp,0.07
STS,Supreme Industries Inc,0.07
QADA,QAD Inc,0.07
MODN,Model N Inc,0.07
RMTI,Rockwell Medical Inc,0.07
ORC,Orchid Island Capital Inc,0.07
DSPG,DSP Group Inc,0.07
FBK,FB FINANCIAL CORP,0.07
XTLY,Xactly Corp,0.07
WLDN,Willdan Group Inc,0.07
ZGNX,Zogenix Inc,0.07
RAS,RAIT Financial Trust,0.07
CUTR,Cutera Inc,0.07
CCBG,Capital City Bank Group Inc,0.07
PCMI,PCM Inc,0.07
AXAS,Abraxas Petroleum Corp,0.07
IRTC,IRHYTHM TECHNOLOGIES INC,0.07
AQMS,AQUA METALS INC,0.07
RXDX,Ignyta Inc,0.07
TNK,Teekay Tankers Ltd,0.07
INBK,First Internet Bancorp,0.07
CIVI,Civitas Solutions Inc,0.07
NEWS,NewStar Financial Inc,0.07
ADUS,Addus HomeCare Corp,0.07
OSTK,Overstock.com Inc,0.07
FRPT,Freshpet Inc,0.07
BCOV,Brightcove Inc,0.07
NRIM,Northrim BanCorp Inc,0.07
WMIH,WMIH CORP,0.07
GLDD,Great Lakes Dredge & Dock Corp,0.07
AHP,Ashford Hospitality Prime Inc,0.07
EXAC,Exactech Inc,0.07
BRG,Bluerock Residential Growth REIT Inc,0.07
SHBI,Shore Bancshares Inc,0.07
AI,Arlington Asset Investment Corp,0.07
TTPH,Tetraphase Pharmaceuticals Inc,0.07
ACNB,ACNB Corp,0.07
BSET,Bassett Furniture Industries Inc,0.07
NKSH,National Bankshares Inc,0.07
AMSWA,American Software Inc/GA,0.07
FARM,Farmer Bros Co,0.07
RSO,Resource Capital Corp,0.07
VSEC,VSE Corp,0.07
WFBI,WashingtonFirst Bankshares Inc,0.07
ECOM,ChannelAdvisor Corp,0.06
ACTG,Acacia Research Corp,0.06
JIVE,Jive Software Inc,0.06
CNBKA,Century Bancorp Inc/MA,0.06
BELFB,Bel Fuse Inc,0.06
SCMP,Sucampo Pharmaceuticals Inc,0.06
PFBI,Premier Financial Bancorp Inc,0.06
TBBK,Bancorp Inc,0.06
APPF,Appfolio Inc,0.06
CVCY,Central Valley Community Bancorp,0.06
NATH,Nathan's Famous Inc,0.06
STRL,Sterling Construction Co Inc,0.06
EVRI,EVERI HOLDINGS INC,0.06
RNET,RigNet Inc,0.06
SPAR,Spartan Motors Inc,0.06
TITN,Titan Machinery Inc,0.06
AXTI,AXT Inc,0.06
CRR,CARBO Ceramics Inc,0.06
INST,INSTRUCTURE INC,0.06
CVTI,Covenant Transportation Group Inc,0.06
WLB,Westmoreland Coal Co,0.06
KOPN,Kopin Corp,0.06
IMMR,Immersion Corp,0.06
CLD,Cloud Peak Energy Inc,0.06
FRPH,FRP Holdings Inc,0.06
GORO,Gold Resource Corp,0.06
SILC,Silicom Ltd,0.06
PWOD,Penns Woods Bancorp Inc,0.06
CAI,CAI International Inc,0.06
BWINB,Baldwin & Lyons Inc,0.06
IVAC,Intevac Inc,0.06
ESXB,Community Bankers Trust Corp,0.06
ORN,Orion Marine Group Inc,0.06
TIS,Orchids Paper Products Co,0.06
VEC,Vectrus Inc,0.06
ERA,Era Group Inc,0.06
TRUP,Trupanion Inc,0.06
CTO,Consolidated-Tomoka Land Co,0.06
SIFI,SI Financial Group Inc,0.06
LCUT,Lifetime Brands Inc,0.06
FNHC,Federated National Holding Co,0.06
SMMF,Summit Financial Group Inc,0.06
CLNE,Clean Energy Fuels Corp,0.06
BIOS,BioScrip Inc,0.06
EMKR,EMCORE Corp,0.06
HDSN,Hudson Technologies Inc,0.06
CSS,CSS Industries Inc,0.06
RDNT,RadNet Inc,0.06
BTX,BioTime Inc,0.06
TREC,Trecora Resources,0.06
EXA,Exa Corp,0.06
LYTS,LSI Industries Inc,0.06
MRT,MEDEQUITIES REALTY INC TRUST,0.06
WATT,Energous Corp,0.06
SREV,ServiceSource International Inc,0.06
EMCI,EMC Insurance Group Inc,0.06
LCNB,LCNB Corp,0.06
ORRF,Orrstown Financial Services Inc,0.06
LOCO,El Pollo Loco Holdings Inc,0.06
DHX,DHI Group Inc,0.06
RUBI,Rubicon Project Inc,0.06
QHC,QUORUM HEALTH CORP,0.06
CETV,Central European Media Enterprises Ltd,0.06
WVE,WAVE LIFE SCIENCES LTD,0.06
CGI,Celadon Group Inc,0.06
AJX,Great Ajax Corp,0.06
CVLY,Codorus Valley Bancorp Inc,0.06
ONDK,On Deck Capital Inc,0.06
MRLN,Marlin Business Services Corp,0.06
RM,Regional Management Corp,0.06
ASC,Ardmore Shipping Corp,0.06
DVAX,Dynavax Technologies Corp,0.06
ANGI,Angie's List Inc,0.06
IDT,IDT Corp,0.06
GLUU,Glu Mobile Inc,0.06
EPM,Evolution Petroleum Corp,0.06
GHM,Graham Corp,0.06
MSBI,MIDLAND STATES BANCORP INC,0.06
AVXL,ANAVEX LIFE SCIENCES CORP,0.06
SPA,Sparton Corp,0.06
OMED,OncoMed Pharmaceuticals Inc,0.06
CALA,Calithera Biosciences Inc,0.06
ITIC,Investors Title Co,0.06
KNSL,KINSALE CAPITAL GROUP INC,0.06
RLGT,Radiant Logistics Inc,0.06
RVSB,Riverview Bancorp Inc,0.06
NHTC,Natural Health Trends Corp,0.06
GRBK,Green Brick Partners Inc,0.06
SIGM,Sigma Designs Inc,0.06
LTS,Ladenburg Thalmann Financial Services Inc,0.05
RRTS,Roadrunner Transportation Systems Inc,0.05
ESSA,ESSA Bancorp Inc,0.05
CLCT,Collectors Universe Inc,0.05
ORM,Owens Realty Mortgage Inc,0.05
XBKS,Xenith Bankshares Inc,0.05
VLGEA,Village Super Market Inc,0.05
CLFD,Clearfield Inc,0.05
PROV,Provident Financial Holdings Inc,0.05
STML,Stemline Therapeutics Inc,0.05
RTIX,RTI Surgical Inc,0.05
AVHI,AV Homes Inc,0.05
UTMD,Utah Medical Products Inc,0.05
BREW,Craft Brew Alliance Inc,0.05
PDVW,Pacific DataVision Inc,0.05
VPG,Vishay Precision Group Inc,0.05
JCAP,Jernigan Capital Inc,0.05
ZYNE,Zynerba Pharmaceuticals Inc,0.05
FCFP,First Community Financial Partners Inc,0.05
HABT,Habit Restaurants Inc,0.05
ODC,Oil-Dri Corp of America,0.05
MEET,MeetMe Inc,0.05
EHTH,eHealth Inc,0.05
LXU,LSB Industries Inc,0.05
TRR,TRC Cos Inc,0.05
CYBE,CyberOptics Corp,0.05
PCYG,Park City Group Inc,0.05
SGA,Saga Communications Inc,0.05
GEOS,Geospace Technologies Corp,0.05
BCBP,BCB Bancorp Inc,0.05
MNOV,MediciNova Inc,0.05
PEIX,Pacific Ethanol Inc,0.05
MOBL,MobileIron Inc,0.05
FFNW,First Financial Northwest Inc,0.05
HURC,Hurco Cos Inc,0.05
UFPT,UFP Technologies Inc,0.05
ZEUS,Olympic Steel Inc,0.05
TIPT,Tiptree Financial Inc,0.05
HCHC,HC2 Holdings Inc,0.05
LQDT,Liquidity Services Inc,0.05
ZAGG,ZAGG Inc,0.05
RICK,RCI Hospitality Holdings Inc,0.05
DLTH,DULUTH HOLDINGS INC CLASS B,0.05
HBP,Huttig Building Products Inc,0.05
PKD,Parker Drilling Co,0.05
