VIOO,7.9831002E8
WWW,Wolverine World Wide Inc,0.32
ROIC,Retail Opportunity Investments Corp,0.32
EGP,EastGroup Properties Inc,0.32
MLI,Mueller Industries Inc,0.31
COLB,Columbia Banking System Inc,0.31
HI,Hillenbrand Inc,0.31
LXP,Lexington Realty Trust,0.31
RLI,RLI Corp,0.31
CVBF,CVB Financial Corp,0.31
TIVO,TiVo Inc,0.31
DRH,DiamondRock Hospitality Co,0.31
ABM,ABM Industries Inc,0.31
ALGT,Allegiant Travel Co,0.31
KNX,Knight Transportation Inc,0.3
ASGN,On Assignment Inc,0.3
TSRA,Tessera Technologies Inc,0.3
PSB,PS Business Parks Inc,0.3
FIVE,Five Below Inc,0.3
MATW,Matthews International Corp,0.3
CRZO,Carrizo Oil & Gas Inc,0.29
SMTC,Semtech Corp,0.29
MOG.A,Moog Inc,0.29
KS,KapStone Paper and Packaging Corp,0.29
EFII,Electronics For Imaging Inc,0.29
VAC,Marriott Vacations Worldwide Corp,0.29
DORM,Dorman Products Inc,0.28
AEL,American Equity Investment Life Holding Co,0.28
LITE,Lumentum Holdings Inc,0.28
FCFS,First Cash Financial Services Inc,0.28
POWI,Power Integrations Inc,0.28
UFPI,Universal Forest Products Inc,0.28
VIAV,VIAVI SOLUTIONS,0.28
HAE,Haemonetics Corp,0.28
SWC,Stillwater Mining Co,0.28
ITRI,Itron Inc,0.28
FNGN,Financial Engines Inc,0.28
PLAY,Dave & Buster's Entertainment Inc,0.28
LGND,Ligand Pharmaceuticals Inc,0.27
ICUI,ICU Medical Inc,0.27
ILG,ILG INC,0.27
KRG,Kite Realty Group Trust,0.27
BCO,Brink's Co,0.27
UCBI,United Community Banks Inc/GA,0.27
TREX,Trex Co Inc,0.27
HQY,HealthEquity Inc,0.27
IIVI,II-VI Inc,0.27
DAR,Darling Ingredients Inc,0.27
UNF,UniFirst Corp/MA,0.27
FMBI,First Midwest Bancorp Inc/IL,0.27
MNRO,Monro Muffler Brake Inc,0.26
STMP,Stamps.com Inc,0.26
SHOO,Steven Madden Ltd,0.26
JJSF,J&J Snack Foods Corp,0.26
GK,G&K Services Inc,0.26
MSTR,MicroStrategy Inc,0.26
NTGR,NETGEAR Inc,0.26
EE,El Paso Electric Co,0.25
CPS,Cooper-Standard Holding Inc,0.25
NKTR,Nektar Therapeutics,0.25
PRAA,PRA Group Inc,0.25
WTS,Watts Water Technologies Inc,0.25
SKYW,SkyWest Inc,0.25
LTC,LTC Properties Inc,0.25
PLXS,Plexus Corp,0.25
SAFM,Sanderson Farms Inc,0.25
SFNC,Simmons First National Corp,0.24
SFBS,ServisFirst Bancshares Inc,0.24
SSD,Simpson Manufacturing Co Inc,0.24
NBTB,NBT Bancorp Inc,0.24
PLCE,Children's Place Inc,0.24
MGLN,Magellan Health Inc,0.24
NWBI,Northwest Bancshares Inc,0.23
SYRG,Synergy Resources Corp,0.23
AF,Astoria Financial Corp,0.23
AAT,American Assets Trust Inc,0.23
AMN,AMN HEALTHCARE,0.23
BRC,Brady Corp,0.23
HW,Headwaters Inc,0.23
LTXB,LegacyTexas Financial Group Inc,0.23
IOSP,Innospec Inc,0.23
CCOI,Cogent Communications Holdings Inc,0.23
FFBC,First Financial Bancorp,0.23
KWR,Quaker Chemical Corp,0.23
BOFI,BofI Holding Inc,0.23
CBM,Cambrex Corp,0.23
INDB,Independent Bank Corp/Rockland MA,0.23
NWN,Northwest Natural Gas Co,0.23
KFY,Korn/Ferry International,0.23
BYD,Boyd Gaming Corp,0.23
HMN,Horace Mann Educators Corp,0.23
SBRA,Sabra Health Care REIT Inc,0.22
CWT,California Water Service Group,0.22
APOG,Apogee Enterprises Inc,0.22
IRBT,iRobot Corp,0.22
CCMP,Cabot Microelectronics Corp,0.22
SNCR,Synchronoss Technologies Inc,0.22
CORE,Core-Mark Holding Co Inc,0.22
GPI,Group 1 Automotive Inc,0.22
AWR,American States Water Co,0.22
ZLTQ,Zeltiq Aesthetics Inc,0.22
PFS,Provident Financial Services Inc,0.22
ABCB,Ameris Bancorp,0.21
SCAI,Surgical Care Affiliates Inc,0.21
CSGS,CSG Systems International Inc,0.21
AXL,American Axle & Manufacturing Holdings Inc,0.21
MRCY,Mercury Systems Inc,0.21
MEI,Methode Electronics Inc,0.21
FN,Fabrinet,0.21
FELE,Franklin Electric Co Inc,0.21
AZZ,AZZ Inc,0.21
UVV,Universal Corp/VA,0.21
ATU,Actuant Corp,0.21
EXLS,ExlService Holdings Inc,0.21
CHSP,Chesapeake Lodging Trust,0.21
HMSY,HMS Holdings Corp,0.21
MATX,Matson Inc,0.21
SCL,Stepan Co,0.21
ESE,ESCO Technologies Inc,0.2
BHE,Benchmark Electronics Inc,0.2
EGOV,NIC Inc,0.2
WDFC,WD-40 Co,0.2
EXPO,Exponent Inc,0.2
BANR,Banner Corp,0.2
HUBG,Hub Group Inc,0.2
FWRD,Forward Air Corp,0.2
FLOW,Flow International Corp,0.2
WABC,Westamerica Bancorporation,0.2
OLLI,Ollie's Bargain Outlet Holdings Inc,0.2
NPO,EnPro Industries Inc,0.2
MINI,Mobile Mini Inc,0.2
ROG,Rogers Corp,0.19
EGHT,8x8 Inc,0.19
RMBS,Rambus Inc,0.19
SPTN,SpartanNash Co,0.19
BLD,TopBuild Corp,0.19
KALU,Kaiser Aluminum Corp,0.19
LZB,La-Z-Boy Inc,0.19
MTH,Meritage Homes Corp,0.19
INN,Summit Hotel Properties Inc,0.19
NP,Neenah Paper Inc,0.19
ROCK,Gibraltar Industries Inc,0.19
AIN,Albany International Corp,0.19
BPFH,Boston Private Financial Holdings Inc,0.19
GOV,Government Properties Income Trust,0.19
KAMN,Kaman Corp,0.19
FSP,Franklin Street Properties Corp,0.18
PRGS,Progress Software Corp,0.18
NSP,Insperity Inc,0.18
SWM,Schweitzer-Mauduit International Inc,0.18
OSIS,OSI Systems Inc,0.18
AAON,AAON Inc,0.18
ASTE,Astec Industries Inc,0.18
UNT,Unit Corp,0.18
SUPN,Supernus Pharmaceuticals Inc,0.18
CAL,CALERES INC,0.18
SEM,Select Medical Holdings Corp,0.18
CNSL,Consolidated Communications Holdings Inc,0.18
AAWW,Atlas Air Worldwide Holdings Inc,0.18
NSIT,Insight Enterprises Inc,0.18
STBA,S&T Bancorp Inc,0.18
OMCL,Omnicell Inc,0.18
PLKI,Popeyes Louisiana Kitchen Inc,0.18
TASR,TASER International Inc,0.18
FCPT,FOUR CORNERS PRO,0.18
MHLD,Maiden Holdings Ltd,0.18
CALM,Cal-Maine Foods Inc,0.17
NAVG,Navigators Group Inc,0.17
SCHL,Scholastic Corp,0.17
XXIA,Ixia,0.17
ADC,Agree Realty Corp,0.17
THRM,Gentherm Inc,0.17
ABG,Asbury Automotive Group Inc,0.17
BABY,Natus Medical Inc,0.17
PRLB,Proto Labs Inc,0.17
AMED,Amedisys Inc,0.17
CYNO,Cynosure Inc,0.17
AJRD,Aerojet Rocketdyne Holdings Inc,0.17
FCF,First Commonwealth Financial Corp,0.17
TTMI,TTM Technologies Inc,0.17
FIX,Comfort Systems USA Inc,0.17
PEI,Pennsylvania Real Estate Investment Trust,0.17
KLIC,KULICKE & SOFFA,0.17
EBIX,Ebix Inc,0.17
GBX,Greenbrier Cos Inc,0.17
GCO,Genesco Inc,0.17
TNC,Tennant Co,0.16
AMSF,AMERISAFE Inc,0.16
MNTA,Momenta Pharmaceuticals Inc,0.16
SAIA,Saia Inc,0.16
BRKS,Brooks Automation Inc,0.16
RRD,RR Donnelley & Sons Co,0.16
PATK,Patrick Industries Inc,0.16
GTLS,Chart Industries Inc,0.16
CKH,SEACOR Holdings Inc,0.16
CUB,Cubic Corp,0.16
GDOT,Green Dot Corp,0.16
AIRM,Air Methods Corp,0.16
TILE,Interface Inc,0.16
SPSC,SPS Commerce Inc,0.16
BEL,Belmond Ltd,0.16
EIG,Employers Holdings Inc,0.16
DIN,DineEquity Inc,0.16
NCI,Navigant Consulting Inc,0.16
GIII,G-III Apparel Group Ltd,0.15
ABAX,Abaxis Inc,0.15
SONC,Sonic Corp,0.15
MMSI,Merit Medical Systems Inc,0.15
HLX,Helix Energy Solutions Group Inc,0.15
BMI,Badger Meter Inc,0.15
GCI,Gannett Co Inc,0.15
ECOL,US Ecology Inc,0.15
BOBE,Bob Evans Farms Inc/DE,0.15
DEPO,Depomed Inc,0.15
MDC,MDC Holdings Inc,0.15
SXI,Standex International Corp,0.15
BRKL,Brookline Bancorp Inc,0.15
SSP,EW Scripps Co,0.15
TMP,Tompkins Financial Corp,0.15
CNMD,CONMED Corp,0.15
SYKE,Sykes Enterprises Inc,0.15
WNC,Wabash National Corp,0.15
VREX,VAREX IMAGIN,0.14
HSC,Harsco Corp,0.14
HAFC,Hanmi Financial Corp,0.14
ELY,Callaway Golf Co,0.14
GLT,PH Glatfelter Co,0.14
ADTN,ADTRAN Inc,0.14
CLW,Clearwater Paper Corp,0.14
TBI,TrueBlue Inc,0.14
LDL,Lydall Inc,0.14
VECO,Veeco Instruments Inc,0.14
SPXC,SPX CORP,0.14
EBS,Emergent BioSolutions Inc,0.14
SVU,SUPERVALU Inc,0.14
HF,HFF Inc,0.14
SSTK,Shutterstock Inc,0.14
QLYS,Qualys Inc,0.14
TLRD,TAILORED BRANDS,0.14
INGN,Inogen Inc,0.14
CFNL,Cardinal Financial Corp,0.14
CMO,Capstead Mortgage Corp,0.14
CIR,CIRCOR International Inc,0.14
STC,Stewart Information Services Corp,0.14
SAFT,Safety Insurance Group Inc,0.14
LABL,Multi-Color Corp,0.14
UFCS,United Fire Group Inc,0.14
RGEN,Repligen Corp,0.14
AIR,AAR Corp,0.14
AROC,ARCHROCK INC,0.14
SHLM,A Schulman Inc,0.14
PJC,Piper Jaffray Cos,0.13
SMP,Standard Motor Products Inc,0.13
RGR,Sturm Ruger & Co Inc,0.13
BGC,General Cable Corp,0.13
AMWD,American Woodmark Corp,0.13
SCSC,ScanSource Inc,0.13
TISI,Team Inc,0.13
SMCI,Super Micro Computer Inc,0.13
RMAX,RE/MAX Holdings Inc,0.13
MANT,ManTech International Corp/VA,0.13
ANDE,Andersons Inc,0.13
VASC,Vascular Solutions Inc,0.13
CPLA,Capella Education Co,0.13
CHCO,City Holding Co,0.13
CTRE,CareTrust REIT Inc,0.13
IPXL,Impax Laboratories Inc,0.13
CUBI,Customers Bancorp Inc,0.13
NTRI,Nutrisystem Inc,0.13
EXTN,EXTERRAN CORP,0.13
MTSC,MTS Systems Corp,0.13
ENSG,Ensign Group Inc,0.13
ALOG,Analogic Corp,0.13
CPF,Central Pacific Financial Corp,0.13
CBB,Cincinnati Bell Inc,0.13
DIOD,Diodes Inc,0.13
BCC,Boise Cascade Co,0.13
IPCC,Infinity Property & Casualty Corp,0.13
ACOR,Acorda Therapeutics Inc,0.13
IPHS,Innophos Holdings Inc,0.13
EPAY,Bottomline Technologies de Inc,0.13
USCR,US Concrete Inc,0.12
FSS,Federal Signal Corp,0.12
BGG,Briggs & Stratton Corp,0.12
TYPE,Monotype Imaging Holdings Inc,0.12
PKY,Parkway Properties Inc/Md,0.12
SCSS,Select Comfort Corp,0.12
RAVN,Raven Industries Inc,0.12
FBP,First BanCorp/Puerto Rico,0.12
SBSI,Southside Bancshares Inc,0.12
HTLD,Heartland Express Inc,0.12
VVI,Viad Corp,0.12
ITGR,INTEGER HOLDINGS,0.12
ATW,Atwood Oceanics Inc,0.12
USPH,US Physical Therapy Inc,0.12
WIRE,Encore Wire Corp,0.12
WD,Walker & Dunlop Inc,0.12
UEIC,Universal Electronics Inc,0.12
SGMS,Scientific Games Corp,0.12
ATNI,Atlantic Tele-Network Inc,0.11
TVTY,TIVITY HEALTH IN,0.11
UVE,Universal Insurance Holdings Inc,0.11
CVGW,Calavo Growers Inc,0.11
STRA,Strayer Education Inc,0.11
NBHC,National Bank Holdings Corp,0.11
KOP,Koppers Holdings Inc,0.11
EXPR,Express Inc,0.11
WGO,Winnebago Industries Inc,0.11
KRA,Kraton Performance Polymers Inc,0.11
CVCO,Cavco Industries Inc,0.11
AMAG,AMAG Pharmaceuticals Inc,0.11
OXM,Oxford Industries Inc,0.11
WING,Wingstop Inc,0.11
INVA,INNOVIVA INC,0.11
ASNA,Ascena Retail Group Inc,0.11
MDXG,MiMedx Group Inc,0.11
IRDM,Iridium Communications Inc,0.11
IBP,Installed Building Products Inc,0.11
NFBK,Northfield Bancorp Inc,0.11
TREE,LendingTree Inc,0.11
TRST,TrustCo Bank Corp NY,0.11
DEL,Deltic Timber Corp,0.11
GHL,Greenhill & Co Inc,0.11
GPRE,Green Plains Inc,0.11
CCC,Calgon Carbon Corp,0.11
LMNX,Luminex Corp,0.11
LNN,Lindsay Corp,0.11
NEWM,New Media Investment Group Inc,0.11
AEGN,Aegion Corp,0.1
IQNT,Inteliquent Inc,0.1
GES,Guess? Inc,0.1
ANF,Abercrombie & Fitch Co,0.1
MTRN,Materion Corp,0.1
ASIX,ADVANSIX INC,0.1
BANC,Banc of California Inc,0.1
UHT,Universal Health Realty Income Trust,0.1
ESND,Essendant Inc,0.1
CENX,Century Aluminum Co,0.1
PMC,PharMerica Corp,0.1
GFF,Griffon Corp,0.1
ARCB,ArcBest Corp,0.1
WWE,World Wrestling Entertainment Inc,0.1
CEVA,CEVA Inc,0.1
BFS,Saul Centers Inc,0.1
LHCG,LHC Group Inc,0.1
FOXF,Fox Factory Holding Corp,0.1
ETH,Ethan Allen Interiors Inc,0.1
ANIK,Anika Therapeutics Inc,0.1
HIBB,Hibbett Sports Inc,0.1
PLUS,ePlus Inc,0.1
CYH,Community Health Systems Inc,0.1
ECPG,Encore Capital Group Inc,0.1
RTEC,Rudolph Technologies Inc,0.09
ALG,Alamo Group Inc,0.09
CTS,CTS Corp,0.09
FRGI,Fiesta Restaurant Group Inc,0.09
VRTU,Virtusa Corp,0.09
VRTS,Virtus Investment Partners Inc,0.09
CRAY,Cray Inc,0.09
FINL,Finish Line Inc,0.09
LKSD,LSC COMMUNICATIO,0.09
QSII,Quality Systems Inc,0.09
BJRI,BJ's Restaurants Inc,0.09
GTY,Getty Realty Corp,0.09
NX,Quanex Building Products Corp,0.09
DCOM,Dime Community Bancshares Inc,0.09
FRAN,Francesca's Holdings Corp,0.09
ORIT,Oritani Financial Corp,0.09
KELYA,Kelly Services Inc,0.09
TMST,TimkenSteel Corp,0.09
ECHO,Echo Global Logistics Inc,0.09
BEAT,BioTelemetry Inc,0.09
UBA,Urstadt Biddle Properties Inc,0.09
IIIN,Insteel Industries Inc,0.09
NANO,Nanometrics Inc,0.08
PRFT,Perficient Inc,0.08
NR,Newpark Resources Inc,0.08
CATO,Cato Corp,0.08
DFIN,DONNELLEY FINANC,0.08
SHAK,Shake Shack Inc,0.08
TTS,Tile Shop Holdings Inc,0.08
CECO,Career Education Corp,0.08
ITG,Investment Technology Group Inc,0.08
MHO,M/I Homes Inc,0.08
MYRG,MYR Group Inc,0.08
FARO,FARO Technologies Inc,0.08
SAH,Sonic Automotive Inc,0.08
RRGB,Red Robin Gourmet Burgers Inc,0.08
UTEK,Ultratech Inc,0.08
HMST,HomeStreet Inc,0.08
MTRX,Matrix Service Co,0.08
BKE,Buckle Inc,0.08
RYAM,Rayonier Advanced Materials Inc,0.08
LCI,Lannett Co Inc,0.08
DPLO,Diplomat Pharmacy Inc,0.08
DXPE,DXP Enterprises Inc,0.08
OFG,OFG Bancorp,0.08
IPAR,Inter Parfums Inc,0.08
HSTM,HealthStream Inc,0.08
TWI,Titan International Inc,0.08
BCOR,Blucora Inc,0.08
ICON,Iconix Brand Group Inc,0.08
RUTH,Ruth's Hospitality Group Inc,0.07
ANGO,AngioDynamics Inc,0.07
ACET,Aceto Corp,0.07
TTI,TETRA Technologies Inc,0.07
FTK,Flotek Industries Inc,0.07
KND,Kindred Healthcare Inc,0.07
SXC,SunCoke Energy Inc,0.07
AMPH,Amphastar Pharmaceuticals Inc,0.07
BRS,Bristow Group Inc,0.07
PGTI,PGT Inc,0.07
BKS,Barnes & Noble Inc,0.07
MCS,Marcus Corp,0.07
TG,Tredegar Corp,0.07
VIVO,Meridian Bioscience Inc,0.07
INTL,INTL. FCStone Inc,0.07
CAMP,CalAmp Corp,0.07
EGRX,Eagle Pharmaceuticals Inc/DE,0.07
AFAM,Almost Family Inc,0.07
NLS,Nautilus Inc,0.07
AVAV,Aerovironment Inc,0.07
CROX,Crocs Inc,0.07
GNCMA,General Communication Inc,0.07
HZO,MarineMax Inc,0.07
LGIH,LGI Homes Inc,0.07
MRTN,Marten Transport Ltd,0.07
NPK,National Presto Industries Inc,0.07
SUP,Superior Industries International Inc,0.07
VRTV,Veritiv Corp,0.07
SCLN,SciClone Pharmaceuticals Inc,0.07
EGL,Engility Holdings Inc,0.07
VSI,Vitamin Shoppe Inc,0.07
HAYN,Haynes International Inc,0.07
HWKN,Hawkins Inc,0.07
CRY,CryoLife Inc,0.07
WCIC,WCI Communities Inc,0.07
FRED,Fred's Inc,0.07
BBG,Bill Barrett Corp,0.06
PAHC,Phibro Animal Health Corp,0.06
CHUY,Chuy's Holdings Inc,0.06
LDR,Landauer Inc,0.06
RECN,Resources Connection Inc,0.06
LION,Fidelity Southern Corp,0.06
MPAA,Motorcar Parts of America Inc,0.06
RGS,Regis Corp,0.06
PES,Pioneer Energy Services Corp,0.06
ANIP,ANI Pharmaceuticals Inc,0.06
EZPW,Ezcorp Inc,0.06
CCRN,Cross Country Healthcare Inc,0.06
RCII,Rent-A-Center Inc/TX,0.06
NILE,Blue Nile Inc,0.06
REX,REX American Resources Corp,0.06
PRSC,Providence Service Corp,0.06
MED,Medifast Inc,0.06
XOXO,XO Group Inc,0.06
TTEC,TeleTech Holdings Inc,0.06
ENTA,Enanta Pharmaceuticals Inc,0.06
VDSI,VASCO Data Security International Inc,0.06
CDR,Cedar Realty Trust Inc,0.06
BH,Biglari Holdings Inc,0.06
AVD,American Vanguard Corp,0.06
PETS,PetMed Express Inc,0.06
EXAR,Exar Corp,0.06
LL,Lumber Liquidators Holdings Inc,0.05
SPOK,Spok Holdings Inc,0.05
HVT,Haverty Furniture Cos Inc,0.05
MOV,Movado Group Inc,0.05
HSII,Heidrick & Struggles International Inc,0.05
HLIT,Harmonic Inc,0.05
AMRI,Albany Molecular Research Inc,0.05
FORR,Forrester Research Inc,0.05
UFI,Unifi Inc,0.05
DAKT,Daktronics Inc,0.05
BKMU,Bank Mutual Corp,0.05
TESO,Tesco Corp,0.05
FTD,FTD Cos Inc,0.05
APEI,American Public Education Inc,0.05
LPSN,LivePerson Inc,0.05
BNED,Barnes & Noble Education Inc,0.05
CRVL,CorVel Corp,0.05
OPB,Opus Bank,0.05
IVC,Invacare Corp,0.05
LMOS,Lumos Networks Corp,0.05
CLD,Cloud Peak Energy Inc,0.04
HCI,HCI Group Inc,0.04
ZUMZ,Zumiez Inc,0.04
PKE,Park Electrochemical Corp,0.04
FOR,Forestar Group Inc,0.04
SCVL,Shoe Carnival Inc,0.04
DGII,Digi International Inc,0.04
POWL,Powell Industries Inc,0.04
COHU,Cohu Inc,0.04
ENVA,Enova International Inc,0.04
CENT,Central Garden & Pet Co,0.04
SPPI,Spectrum Pharmaceuticals Inc,0.04
SRDX,SurModics Inc,0.04
GEOS,Geospace Technologies Corp,0.04
ERA,Era Group Inc,0.04
MYE,Myers Industries Inc,0.04
CRR,CARBO Ceramics Inc,0.04
FF,FutureFuel Corp,0.04
WRLD,World Acceptance Corp,0.04
ORN,Orion Marine Group Inc,0.04
PERY,Perry Ellis International Inc,0.03
DHX,DHI Group Inc,0.03
BELFB,Bel Fuse Inc,0.03
BGFV,Big 5 Sporting Goods Corp,0.03
LOCO,El Pollo Loco Holdings Inc,0.03
MCRI,Monarch Casino & Resort Inc,0.03
QHC,QUORUM HEALTH,0.03
CMTL,Comtech Telecommunications Corp,0.03
ACAT,Arctic Cat Inc,0.03
VICR,Vicor Corp,0.03
UIHC,United Insurance Holdings Corp,0.03
CPSI,Computer Programs & Systems Inc,0.03
RRTS,Roadrunner Transportation Systems Inc,0.03
LQDT,Liquidity Services Inc,0.03
HOS,Hornbeck Offshore Services Inc,0.03
DSPG,DSP Group Inc,0.03
VRA,Vera Bradley Inc,0.03
SENEA,Seneca Foods Corp,0.03
CGI,Celadon Group Inc,0.03
ESIO,Electro Scientific Industries Inc,0.02
ZEUS,Olympic Steel Inc,0.02
EHTH,eHealth Inc,0.02
KIRK,Kirkland's Inc,0.02
BBOX,Black Box Corp,0.02
TUES,Tuesday Morning Corp,0.02
KOPN,Kopin Corp,0.02
GIFI,Gulf Island Fabrication Inc,0.02
MCF,Contango Oil & Gas Co,0.02
LXU,LSB Industries Inc,0.02
TNGO,Tangoe Inc,0.02
NOG,Northern Oil and Gas Inc,0.02
AGYS,Agilysys Inc,0.02
CLMS,Calamos Asset Management Inc,0.01
QNST,QuinStreet Inc,0.01
CDI,CDI Corp,0.01
RT,Ruby Tuesday Inc,0.01
SMRT,Stein Mart Inc,0.01
ADPT,Adeptus Health Inc,0.01
TDW,Tidewater Inc,0.01
FNBC,First NBC Bank Holding Co,0.0
CBR,Ciber Inc,0.0
SSI,Stage Stores Inc,0.0
-,GERBER SCI INC,0.0
